yrs,ZEN,ZES,UPN_Propu,UPS_Propu,UPN_A,UPS_A,MAN,MAS,Total,Total_A,Periodo,Correcta,UPN_ZEN,UPS_ZES,Fuente,Tipo,Modelo, Modelo,,
1979,73,462,73,462,153,382,0,382,535,534.6,B,534.6,153,382,UPN,UPS,ZEN,ZES,,
1980,202,1698,202,1698,422,1481,0,1478,1900,1903,B,1903,422,1481,UPN,UPS,ZEN,ZES,,
1981,0,9066,0,9066,0,9066,0,9066,9066,9066,B,9066,0,9066,UPN,UPS,ZEN,ZES,,
1982,30,6075,30,6075,63,6042,0,6042,6105,6105,B,6105,63,6042,UPN,UPS,ZEN,ZES,,
1983,99,6020,99,6020,207,5912,0,5912,6119,6119,B,6119,207,5912,UPN,UPS,ZEN,ZES,,
1984,465,2222,465,2222,973,1714,0,1714,2687,2687,B,2687,973,1714,UPN,UPS,ZEN,ZES,,
1985,1296,2864,1296,2864,1897,2263,1897,2263,4160,4160,B,4160,1897,2263,UPN,UPS,ZEN,ZES,,
1986,2193,3218,2193,3218,2675,2736,1752,2720,5411,5411,B,5411,2675,2736,UPN,UPS,ZEN,ZES,,
1987,1672,4443,1672,4443,2779,3336,1114,5001,6115,6115,B,6115,2779,3336,UPN,UPS,ZEN,ZES,,
1988,2283,4894,2283,4894,3630,3547,3025,4152,7177,7177,B,7177,3630,3547,UPN,UPS,ZEN,ZES,,
1989,1360,2582,1360,2582,2081,1861,1436,2506,3942,3942,B,3942,2081,1861,UPN,UPS,ZEN,ZES,,
1990,2773,3023,2773,3023,4865,931,1126,4670,5796,5796,B,5796,4865,931,UPN,UPS,ZEN,ZES,,
1991,2766,4168,2766,4168,4570,2364,2230,4704,6934,6934,B,6934,4570,2364,UPN,UPS,ZEN,ZES,,
1992,1814,1922,1814,1922,2945,791,779,2957,3736,3736,B,3736,2945,791,UPN,UPS,ZEN,ZES,,
1993,904,1320,904,1320,1368,856,877,1347,2224,2224,B,2224,1368,856,UPN,UPS,ZEN,ZES,,
1994,1996,2846,1996,2846,3845,997,889,3953,4842,4842,B,4842,3845,997,UPN,UPS,ZEN,ZES,,
1995,2220,3523,2220,3523,4314,1429,1853,3890,5743,5743,B,5743,4314,1429,UPN,UPS,ZEN,ZES,,
1996,3085,3316,3085,3316,6328,74,2688,3713,6401,6402,B,6402,6328,74,UPN,UPS,ZEN,ZES,,
1997,3084,7238,3084,7238,6370,3952,1753,8569,10322,10322,B,10322,6370,3952,UPN,UPS,ZEN,ZES,,
1998,2573,6513,2452,6513,4598,4828,2198,6767,9086,9426,B,9426,4598,4828,UPN,UPS,ZEN,ZES,,
1999,3134,4139,3134,4139,4498,2775,3997,3276,7273,7273,B,7273,4498,2775,UPN,UPS,ZEN,ZES,,
2000,3061,2008,3061,2008,4325,744,3832,1237,5069,5069,B,5069,4325,744,UPN,UPS,ZEN,ZES,,
2001,1898,270,2157,11,2007,171,1898,270,2167,2178,C,2167,1898,270,ZEN,ZES,ZEN,ZES,,
2002,602,308,753,157,715,210,602,308,910,925,C,910,602,308,ZEN,ZES,ZEN,ZES,,
2003,1775,393,2046,123,2006,191,1775,393,2168,2197,C,2168,1775,393,ZEN,ZES,ZEN,ZES,,
2004,1000,781,1677,104,1700,229,1000,781,1781,1929,C,1781,1000,781,ZEN,ZES,ZEN,ZES,,
2005,1792,1162,2811,143,2756,246,1792,1162,2954,3002,C,2954,1792,1162,ZEN,ZES,ZEN,ZES,,
2006,1357,2614,2849,1123,3006,1182,1357,2614,3972,4188,C,3972,1357,2614,ZEN,ZES,ZEN,ZES,,
2007,891,3247,2850,1288,2808,1389,891,3247,4138,4197,C,4138,891,3247,ZEN,ZES,ZEN,ZES,,
2008,1130,4396,2975,2551,3124,2428,1130,4396,5526,5552,C,5526,1130,4396,ZEN,ZES,ZEN,ZES,,
2009,1102,4284,2850,2537,2848,2543,1102,4284,5386,5391,C,5386,1102,4284,ZEN,ZES,ZEN,ZES,,
2010,906,4296,2761,2440,2902,2226,906,4296,5201,5128,C,5201,906,4296,ZEN,ZES,ZEN,ZES,,
2011,1051,3680,2495,2217,2558,2172,1051,3680,4731,4730,C,4731,1051,3680,ZEN,ZES,ZEN,ZES,,
2012,1176,2822,2609,1388,2797,1194,1176,2822,3998,3991,C,3998,1176,2822,ZEN,ZES,ZEN,ZES,,
2013,608,2350,1864,1094,1998,1012,608,2350,2957,3010,C,2957,608,2350,ZEN,ZES,ZEN,ZES,,
2014,908,1872,1646,1134,1761,1082,908,1872,2779,2843,C,2779,908,1872,ZEN,ZES,ZEN,ZES,,
2015,1321,3192,2549,1964,2371,2146,1321,3192,4513,4517,C,4513,1321,3192,ZEN,ZES,ZEN,ZES,,
2016,1711,2356,2248,1819,2077,2039,1711,2356,4067,4116,C,4067,1711,2356,ZEN,ZES,ZEN,ZES,,
2017,885,3063,2033,1915,1427,2514,885,3063,3948,3941,C,3948,885,3063,ZEN,ZES,ZEN,ZES,,
2018,896,2711,1724,1882,1111,2513,896,2711,3606,3624,C,3606,896,2711,ZEN,ZES,ZEN,ZES,,
2019,748,2642,0,0,0,0,748,2642,3390,0,C,3390,748,2642,ZEN,ZES,ZEN,ZES,,
