Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
73.7066 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
73.7066 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
73.7066 0.00483406 0.00483406 0.00483406 0.00483406 0.358521 0.358521 0.358521 0.358521
73.7065 0.00483419 0.00483419 0.00483419 0.00483419 0.358525 0.358525 0.358525 0.358525
73.7053 0.00483541 0.00483541 0.00483541 0.00483541 0.358566 0.358566 0.358566 0.358566
73.693 0.00484771 0.00484771 0.00484771 0.00484771 0.358975 0.358975 0.358975 0.358975
73.5791 0.00497276 0.00497276 0.00497276 0.00497276 0.363044 0.363044 0.363044 0.363044
73.2568 0.00646593 0.00646593 0.00646593 0.00646593 0.400543 0.400543 0.400543 0.400543
172.894 0.187539 0.187539 0.187539 0.187539 0.308064 0.308064 0.308064 0.308064
928486 46392.1 46392.1 46392.1 46392.1 0.000348275 0.000348275 0.000348275 0.000348275
6062.52 67.5853 67.5853 67.5853 67.5853 0.00876356 0.00876356 0.00876356 0.00876356
10444.5 673.406 673.406 673.406 673.406 0.0412519 0.0412519 0.0412519 0.0412519
5339.19 274.621 274.621 274.621 274.621 0.00834612 0.00834612 0.00834612 0.00834612
2192.62 383.921 383.921 383.921 383.921 0.0324135 0.0324135 0.0324135 0.0324135
108.292 26.5839 26.5839 26.5839 26.5839 0.380196 0.380196 0.380196 0.380196
777.796 163.633 163.633 163.633 163.633 0.164135 0.164135 0.164135 0.164135
290.591 53.2806 53.2806 53.2806 53.2806 0.616891 0.616891 0.616891 0.616891
2452.7 284.849 284.849 284.849 284.849 0.26949 0.26949 0.26949 0.26949
3269.44 442.462 442.462 442.462 442.462 0.206154 0.206154 0.206154 0.206154
5832.17 37.2627 37.2627 37.2627 37.2627 0.247193 0.247193 0.247193 0.247193
2363.26 156.943 156.943 156.943 156.943 0.263042 0.263042 0.263042 0.263042
3401.21 299.849 299.849 299.849 299.849 0.231789 0.231789 0.231789 0.231789
4352.22 518.419 518.419 518.419 518.419 0.186071 0.186071 0.186071 0.186071
1352.73 320.315 320.315 320.315 320.315 0.182632 0.182632 0.182632 0.182632
2509.96 400.989 400.989 400.989 400.989 0.193579 0.193579 0.193579 0.193579
2767.61 561.425 561.425 561.425 561.425 0.17686 0.17686 0.17686 0.17686
2352.6 561.943 561.943 561.943 561.943 0.168194 0.168194 0.168194 0.168194
5510.69 1154.54 1154.54 1154.54 1154.54 0.0966393 0.0966393 0.0966393 0.0966393
3579.99 812.589 812.589 812.589 812.589 0.126277 0.126277 0.126277 0.126277
2861.21 694.072 694.072 694.072 694.072 0.135732 0.135732 0.135732 0.135732
2632.55 556.458 556.458 556.458 556.458 0.128932 0.128932 0.128932 0.128932
3469.78 770.773 770.773 770.773 770.773 0.069565 0.069565 0.069565 0.069565
3245.71 696.243 696.243 696.243 696.243 0.0480197 0.0480197 0.0480197 0.0480197
4435.26 850.571 850.571 850.571 850.571 0.0263203 0.0263203 0.0263203 0.0263203
4294.01 817.983 817.983 817.983 817.983 0.0223066 0.0223066 0.0223066 0.0223066
4458.33 827.455 827.455 827.455 827.455 0.0182515 0.0182515 0.0182515 0.0182515
4587.09 701.341 701.341 701.341 701.341 0.0132289 0.0132289 0.0132289 0.0132289
4664.2 558.106 558.106 558.106 558.106 0.00920897 0.00920897 0.00920897 0.00920897
4638.69 639.099 639.099 639.099 639.099 0.0110361 0.0110361 0.0110361 0.0110361
4561.08 595.654 595.654 595.654 595.654 0.00948984 0.00948984 0.00948984 0.00948984
4560.42 609.288 609.288 609.288 609.288 0.00793075 0.00793075 0.00793075 0.00793075
4227.36 610.131 610.131 610.131 610.131 0.00682962 0.00682962 0.00682962 0.00682962
4400.28 609.307 609.307 609.307 609.307 0.00744995 0.00744995 0.00744995 0.00744995
4776.54 732.48 732.48 732.48 732.48 0.00609853 0.00609853 0.00609853 0.00609853
4573.38 667.857 667.857 667.857 667.857 0.00675378 0.00675378 0.00675378 0.00675378
4790.75 733.445 733.445 733.445 733.445 0.00613549 0.00613549 0.00613549 0.00613549
4855.15 738.994 738.994 738.994 738.994 0.00601885 0.00601885 0.00601885 0.00601885
4923.8 706.253 706.253 706.253 706.253 0.00623782 0.00623782 0.00623782 0.00623782
5167.38 667.626 667.626 667.626 667.626 0.0063482 0.0063482 0.0063482 0.0063482
5457.19 627.239 627.239 627.239 627.239 0.00666596 0.00666596 0.00666596 0.00666596
5354.84 593.627 593.627 593.627 593.627 0.00765881 0.00765881 0.00765881 0.00765881
6115.39 657.001 657.001 657.001 657.001 0.00757026 0.00757026 0.00757026 0.00757026
5631.98 654.917 654.917 654.917 654.917 0.00917405 0.00917405 0.00917405 0.00917405
5373.94 701.711 701.711 701.711 701.711 0.0107252 0.0107252 0.0107252 0.0107252
5436.58 757.591 757.591 757.591 757.591 0.0113899 0.0113899 0.0113899 0.0113899
5411.51 729.78 729.78 729.78 729.78 0.0111161 0.0111161 0.0111161 0.0111161
4856.15 687.267 687.267 687.267 687.267 0.0129229 0.0129229 0.0129229 0.0129229
4823.32 684.722 684.722 684.722 684.722 0.012956 0.012956 0.012956 0.012956
4866.45 697.253 697.253 697.253 697.253 0.0128095 0.0128095 0.0128095 0.0128095
4861.04 697.455 697.455 697.455 697.455 0.0129157 0.0129157 0.0129157 0.0129157
4932.63 701.894 701.894 701.894 701.894 0.0128163 0.0128163 0.0128163 0.0128163
4991.92 702.569 702.569 702.569 702.569 0.0129197 0.0129197 0.0129197 0.0129197
104570 17963.1 17963.1 17963.1 17963.1 0.000990926 0.000990926 0.000990926 0.000990926
5023.47 705.251 705.251 705.251 705.251 0.0129461 0.0129461 0.0129461 0.0129461
5016.59 704.578 704.578 704.578 704.578 0.0129422 0.0129422 0.0129422 0.0129422
6552.68 1014.36 1014.36 1014.36 1014.36 0.0120334 0.0120334 0.0120334 0.0120334
4919.67 691.974 691.974 691.974 691.974 0.0133298 0.0133298 0.0133298 0.0133298
5006 703.108 703.108 703.108 703.108 0.0129822 0.0129822 0.0129822 0.0129822
5004.56 702.753 702.753 702.753 702.753 0.012991 0.012991 0.012991 0.012991
5005.31 703.631 703.631 703.631 703.631 0.0130397 0.0130397 0.0130397 0.0130397
5052.89 724.204 724.204 724.204 724.204 0.0129243 0.0129243 0.0129243 0.0129243
5094.18 736.48 736.48 736.48 736.48 0.0130193 0.0130193 0.0130193 0.0130193
5045.55 725.211 725.211 725.211 725.211 0.0133038 0.0133038 0.0133038 0.0133038
4848.83 732.375 732.375 732.375 732.375 0.0151255 0.0151255 0.0151255 0.0151255
4918.39 727.907 727.907 727.907 727.907 0.0143855 0.0143855 0.0143855 0.0143855
4730.21 676.081 676.081 676.081 676.081 0.0159708 0.0159708 0.0159708 0.0159708
4622.92 674.65 674.65 674.65 674.65 0.0172611 0.0172611 0.0172611 0.0172611
4419.32 698.597 698.597 698.597 698.597 0.0201083 0.0201083 0.0201083 0.0201083
4032.56 708.72 708.72 708.72 708.72 0.026545 0.026545 0.026545 0.026545
4255.77 701.656 701.656 701.656 701.656 0.0225122 0.0225122 0.0225122 0.0225122
4042.56 700.248 700.248 700.248 700.248 0.0260286 0.0260286 0.0260286 0.0260286
3917.79 719.823 719.823 719.823 719.823 0.0308821 0.0308821 0.0308821 0.0308821
3992.44 701.093 701.093 701.093 701.093 0.0272331 0.0272331 0.0272331 0.0272331
3991.1 706.813 706.813 706.813 706.813 0.0282807 0.0282807 0.0282807 0.0282807
4002.68 722.685 722.685 722.685 722.685 0.0292135 0.0292135 0.0292135 0.0292135
3944.78 767.581 767.581 767.581 767.581 0.0312457 0.0312457 0.0312457 0.0312457
3883.07 803.56 803.56 803.56 803.56 0.0335251 0.0335251 0.0335251 0.0335251
3910.32 1101.51 1101.51 1101.51 1101.51 0.0525127 0.0525127 0.0525127 0.0525127
3851.98 829.071 829.071 829.071 829.071 0.0350784 0.0350784 0.0350784 0.0350784
3668.73 988.879 988.879 988.879 988.879 0.0438026 0.0438026 0.0438026 0.0438026
3808.19 859.907 859.907 859.907 859.907 0.0367306 0.0367306 0.0367306 0.0367306
3744.04 885.276 885.276 885.276 885.276 0.0390007 0.0390007 0.0390007 0.0390007
3836.07 852.738 852.738 852.738 852.738 0.0389754 0.0389754 0.0389754 0.0389754
3842.85 855.743 855.743 855.743 855.743 0.0407613 0.0407613 0.0407613 0.0407613
6258.44 1041.26 1041.26 1041.26 1041.26 0.0417333 0.0417333 0.0417333 0.0417333
