"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1987 3703 34123 249.41 0.186560443233507 0.502122072307741 0.950946272434422 0.0749664449198488
"V2" 1988 3837.3 34980 274.5 0.151495402655712 0.407745523156643 0.985435088094142 0.0926315037164094
"V3" 1989 3607.6 35036 373.4 0.489441663403599 1.31731817336197 0.926447143514562 0.0603159607261103
"V4" 1990 4041.7 37188 505.26 0.140703561846138 0.378699593712018 1.03792588422852 0.120159191136926
"V5" 1991 5044.1 39142 730.45 0.141098083892418 0.379761438463325 1.29534650088752 0.109806857084462
"V6" 1992 6008.4 41285 588.82 0.371387235224959 0.99957807211248 1.54298287423575 0.073901174760809
"V7" 1993 7939.5 42847 360.66 0.0805159481914612 0.216706361000208 2.03889763164815 0.0327413821271034
"V8" 1994 9309.1 44543 306.34 0.20030781912558 0.539122739502131 2.39061678226284 0.0882210448330826
"V9" 1995 9562 42330 293.68 0.164490904845212 0.44272254388501 2.45556258628624 0.100683439640917
"V10" 1996 8946.5 38719 237 0.207837241162589 0.55938796256322 2.29749954802446 0.155468116428627
"V11" 1997 7866.3 32561 180.61 0.251880628532463 0.677929474120058 2.02009955788574 0.188742667608489
"V12" 1998 6708.3 27007 249.35 0.263975231582613 0.710481750701432 1.72272019426731 0.17304328507424
"V13" 1999 5839.8 24785 385.85 0.215973405837648 0.581286216000387 1.49968567155348 0.181105103893484
"V14" 2000 5525.3 25721 610.99 0.186076016109256 0.500818250622418 1.41892072348958 0.153384782862253
"V15" 2001 5897.8 29109 662.93 0.209192583320228 0.563035827035904 1.51458032016304 0.0780473393108661
"V16" 2002 7490.4 36872 863.5 0.0558715484870625 0.150376667331628 1.92356682663862 0.0209018496420048
"V17" 2003 9552.6 44801 608.77 0.117643078125732 0.316632964401879 2.45314862599435 0.0463302158433963
"V18" 2004 11804 47875 321.65 0.0836009830491076 0.225009643673717 3.0313177963316 0.035182454308094
"V19" 2005 13128 51143 522.02 0.0998785830694786 0.26882033640559 3.37132667148774 0.056262831668068
"V20" 2006 13315 51077 377.74 0.0815368674231073 0.21945413577694 3.41934907303925 0.0581101082679092
"V21" 2007 13155 49386 308.31 0.0859920868787396 0.231445230924842 3.37826038721977 0.0598307212570364
"V22" 2008 12646 46510 256.61 0.0908177979425224 0.244433493590322 3.24754700545658 0.0661889916147065
"V23" 2009 11699 43284 288.55 0.104089934366567 0.280155067412114 3.00435334626257 0.0689730616394049
"V24" 2010 10559 39191 177.76 0.109382977480452 0.294401140862056 2.71159645979883 0.0748924497971473
"V25" 2011 9353.3 35541 241.75 0.135511333512706 0.364724860346839 2.40196753172046 0.074053628204046
"V26" 2012 8356.1 32726 264.21 0.0948176220872216 0.255198905344243 2.1458822973506 0.0843922263643586
"V27" 2013 7734.4 29498 177.89 0.0749075943805611 0.201611637869434 1.98622707251331 0.0652339141636721
"V28" 2014 7340.8 27411 192.74 0.0735566074355714 0.197975495326452 1.88514890539741 0.062100981357849
"V29" 2015 6655.3 25235 136.17 0.145788257654499 0.392384906375824 1.70910956708961 0.101473746780266
"V30" 2016 6026.7 22236 138.59 0.109120773105606 0.293695425321379 1.54768239267635 0.0960491994963123
"V31" 2017 5414.9 19938 143.65 0.120392264079867 0.32403231940192 1.39056953027414 0.0986884341458521
"V32" 2018 4922 17926 128.86 0.0942315714645254 0.253621566932922 1.26399069752153 0.0947021086689725
"V33" 2019 4573 16730 169.01 0.0853324905147273 0.229669946264042 1.17436600157781 0.0871428571428571
"V34" 2020 4238.1 16687 237.59 0.120476568167711 0.324259221431947 1.08836224607192 0.0867711392101636
