"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1987 5765.7 33875 758.24 0.190881970012503 0.540223326642413 1.38412233531784 0.074499483394834
"V2" 1988 6562 35810 375.59 0.212205528476654 0.600572052551952 1.57528327251776 0.0856783021502374
"V3" 1989 8100.4 36613 386.83 0.125858124811148 0.356196527445733 1.9445938160169 0.0572127386447437
"V4" 1990 8796.7 38816 483.41 0.198275064045364 0.561146842112996 2.11174860764356 0.104927091920857
"V5" 1991 8858.3 41275 748.36 0.184224528813676 0.521381814103952 2.12653639331669 0.0970337976983646
"V6" 1992 9357.4 43704 607.89 0.141819522224298 0.401369569236055 2.24635106587286 0.0704530477759473
"V7" 1993 10879 45160 373.2 0.0582448268454673 0.164841205882926 2.61162857691569 0.0312619574844996
"V8" 1994 11712 46666 308.65 0.159087645352583 0.450240832041137 2.811599769541 0.0847124244632066
"V9" 1995 11493 44149 290.54 0.13813828919108 0.390951152267595 2.75902631073555 0.0972404810980996
"V10" 1996 10453 40365 252.73 0.179693977490037 0.508559704674652 2.50936239677357 0.150639415335068
"V11" 1997 9007.8 34037 194.77 0.221020460566708 0.625519573459788 2.16242558094872 0.18277110203602
"V12" 1998 7597.1 28385 266.67 0.233260365686475 0.660160258806628 1.82377088534665 0.166537607891492
"V13" 1999 6572.7 26223 410.22 0.1937861592063 0.548442598202577 1.5778519300941 0.173822598482248
"V14" 2000 6162.1 27337 643.36 0.170947292668651 0.483805333316307 1.47928269637027 0.148569338259502
"V15" 2001 6514 31176 724.94 0.185537177356367 0.525096797569379 1.5637603226426 0.0731274056966898
"V16" 2002 8171.1 39593 920.09 0.0493656717594784 0.139711924694071 1.9615661609372 0.0195847245725254
"V17" 2003 10388 48052 646.23 0.103913131802903 0.294089052730954 2.49375840215095 0.043468117872305
"V18" 2004 12807 51484 350.36 0.0740140750859677 0.209470437981564 3.07446706356827 0.0329607256623417
"V19" 2005 14232 54962 547.73 0.0886641183229659 0.250932159549231 3.41655463798732 0.0526394599905389
"V20" 2006 14446 54959 400.14 0.0728684148979873 0.206228055487753 3.46792778951412 0.0542149602430903
"V21" 2007 14269 53180 323.09 0.0774130428739324 0.219090003860124 3.42543691184943 0.0558309514855209
"V22" 2008 13710 50128 271.24 0.0818964200755262 0.231778603764448 3.29124255809487 0.0617467283753591
"V23" 2009 12683 46686 303.92 0.0941279737251172 0.266395653254006 3.04469944305742 0.0642995758899884
"V24" 2010 11456 42337 190.07 0.0989441232305974 0.280026046461323 2.75014403687344 0.0696492429789546
"V25" 2011 10165 38398 250.18 0.122836632192192 0.347645270383943 2.44022469752257 0.0689884889838012
"V26" 2012 9085.9 35283 271.97 0.0854434948896069 0.241817333749195 2.18117438064144 0.0786625286965394
"V27" 2013 8381.6 31811 189.93 0.0677249926187189 0.191671433435649 2.01209909736893 0.0609081764169627
"V28" 2014 7913.8 29535 205.85 0.0666033768012275 0.188497099955644 1.89979834837718 0.0580369053665143
"V29" 2015 7173.5 27225 149.92 0.132681998826424 0.375509068702928 1.72208085269829 0.095074012855831
"V30" 2016 6510 24117 152.19 0.099370499011444 0.28123275101657 1.56280007681967 0.0898826553883153
"V31" 2017 5879.9 21746 157.71 0.10903351139646 0.308580460680705 1.41153735356251 0.0916407615193599
"V32" 2018 5379 19694 142.7 0.0844918668117441 0.239124089929909 1.29129057038602 0.0869726820351376
"V33" 2019 4986.6 18535 188.61 0.0912821518078994 0.258341569450017 1.19709045515652 0.0945745886161316
"V34" 2020 4597.5 18404 270.51 0.127977603887551 0.362194956932438 1.10368254273094 0.0929645729189307
