Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
0 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
86.2912 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
86.2912 0.00483405 0.00483405 0.00483405 0.00483405 0.35852 0.35852 0.35852 0.35852
86.2911 0.00483406 0.00483406 0.00483406 0.00483406 0.358521 0.358521 0.358521 0.358521
86.2906 0.00483419 0.00483419 0.00483419 0.00483419 0.358525 0.358525 0.358525 0.358525
86.2859 0.00483548 0.00483548 0.00483548 0.00483548 0.358563 0.358563 0.358563 0.358563
86.2385 0.00484837 0.00484837 0.00484837 0.00484837 0.358945 0.358945 0.358945 0.358945
85.777 0.00497952 0.00497952 0.00497952 0.00497952 0.362739 0.362739 0.362739 0.362739
82.3803 0.00655147 0.00655147 0.00655147 0.00655147 0.397372 0.397372 0.397372 0.397372
160.629 0.205611 0.205611 0.205611 0.205611 0.297705 0.297705 0.297705 0.297705
83666 36151.6 36151.6 36151.6 36151.6 0.000366836 0.000366836 0.000366836 0.000366836
4043.12 72.0463 72.0463 72.0463 72.0463 0.00876 0.00876 0.00876 0.00876
4515.34 151.587 151.587 151.587 151.587 146.003 146.003 146.003 146.003
4237.14 95.9209 95.9209 95.9209 95.9209 108.97 108.97 108.97 108.97
2334.36 0.291016 0.291016 0.291016 0.291016 1.10888 1.10888 1.10888 1.10888
8797.61 19.3451 19.3451 19.3451 19.3451 0.0162017 0.0162017 0.0162017 0.0162017
8531.17 319.56 319.56 319.56 319.56 0.000898482 0.000898482 0.000898482 0.000898482
9026.35 280.891 280.891 280.891 280.891 0.000918478 0.000918478 0.000918478 0.000918478
7749.76 188.115 188.115 188.115 188.115 0.00107657 0.00107657 0.00107657 0.00107657
7940.92 180.698 180.698 180.698 180.698 0.00100249 0.00100249 0.00100249 0.00100249
9663.04 263.625 263.625 263.625 263.625 0.000740636 0.000740636 0.000740636 0.000740636
5275.9 52.3035 52.3035 52.3035 52.3035 0.00394089 0.00394089 0.00394089 0.00394089
9838.11 48.5666 48.5666 48.5666 48.5666 0.00758278 0.00758278 0.00758278 0.00758278
14519 85.8415 85.8415 85.8415 85.8415 0.0124358 0.0124358 0.0124358 0.0124358
12598.5 30.8701 30.8701 30.8701 30.8701 0.0786746 0.0786746 0.0786746 0.0786746
11707.5 41.532 41.532 41.532 41.532 0.0795928 0.0795928 0.0795928 0.0795928
13532 218.869 218.869 218.869 218.869 0.0102596 0.0102596 0.0102596 0.0102596
17985.4 365.966 365.966 365.966 365.966 0.0047991 0.0047991 0.0047991 0.0047991
14666.8 226.839 226.839 226.839 226.839 0.0061685 0.0061685 0.0061685 0.0061685
10929.5 163.22 163.22 163.22 163.22 0.00479792 0.00479792 0.00479792 0.00479792
6668.86 48.0791 48.0791 48.0791 48.0791 0.00640118 0.00640118 0.00640118 0.00640118
6324.06 73.5083 73.5083 73.5083 73.5083 0.00486763 0.00486763 0.00486763 0.00486763
4785.86 62.4349 62.4349 62.4349 62.4349 0.00703656 0.00703656 0.00703656 0.00703656
5171.83 95.4553 95.4553 95.4553 95.4553 0.00498781 0.00498781 0.00498781 0.00498781
5056.46 92.1577 92.1577 92.1577 92.1577 0.00501711 0.00501711 0.00501711 0.00501711
4842.02 80.3841 80.3841 80.3841 80.3841 0.00545533 0.00545533 0.00545533 0.00545533
4370.58 73.8565 73.8565 73.8565 73.8565 0.00572582 0.00572582 0.00572582 0.00572582
3846.43 60.6355 60.6355 60.6355 60.6355 0.0061229 0.0061229 0.0061229 0.0061229
3125.91 47.3531 47.3531 47.3531 47.3531 0.00584182 0.00584182 0.00584182 0.00584182
3424.99 51.1885 51.1885 51.1885 51.1885 0.0061382 0.0061382 0.0061382 0.0061382
3500.71 115.37 115.37 115.37 115.37 0.00412747 0.00412747 0.00412747 0.00412747
3457.58 74.5464 74.5464 74.5464 74.5464 0.00509435 0.00509435 0.00509435 0.00509435
3395.4 94.63 94.63 94.63 94.63 0.0046356 0.0046356 0.0046356 0.0046356
3477.53 84.5488 84.5488 84.5488 84.5488 0.0051358 0.0051358 0.0051358 0.0051358
3582.2 64.739 64.739 64.739 64.739 0.00623854 0.00623854 0.00623854 0.00623854
3516.39 71.4988 71.4988 71.4988 71.4988 0.00579125 0.00579125 0.00579125 0.00579125
3427.33 79.2112 79.2112 79.2112 79.2112 0.00562789 0.00562789 0.00562789 0.00562789
3395.92 74.9164 74.9164 74.9164 74.9164 0.00568172 0.00568172 0.00568172 0.00568172
3328.11 58.3119 58.3119 58.3119 58.3119 0.00677681 0.00677681 0.00677681 0.00677681
3341.26 56.9878 56.9878 56.9878 56.9878 0.00673938 0.00673938 0.00673938 0.00673938
3162.29 46.2017 46.2017 46.2017 46.2017 0.0081739 0.0081739 0.0081739 0.0081739
3034.13 41.2768 41.2768 41.2768 41.2768 0.00935737 0.00935737 0.00935737 0.00935737
2958.02 44.5838 44.5838 44.5838 44.5838 0.00955775 0.00955775 0.00955775 0.00955775
2894.98 43.3374 43.3374 43.3374 43.3374 0.0109694 0.0109694 0.0109694 0.0109694
2937.16 46.5756 46.5756 46.5756 46.5756 0.0113145 0.0113145 0.0113145 0.0113145
2402.21 31.4302 31.4302 31.4302 31.4302 0.017524 0.017524 0.017524 0.017524
2780.77 41.2943 41.2943 41.2943 41.2943 0.0128742 0.0128742 0.0128742 0.0128742
2803.33 39.9312 39.9312 39.9312 39.9312 0.0137533 0.0137533 0.0137533 0.0137533
2965.62 40.2525 40.2525 40.2525 40.2525 0.0143979 0.0143979 0.0143979 0.0143979
2897.34 40.9923 40.9923 40.9923 40.9923 0.0143005 0.0143005 0.0143005 0.0143005
2881.66 44.4584 44.4584 44.4584 44.4584 0.0133706 0.0133706 0.0133706 0.0133706
2917.85 42.7272 42.7272 42.7272 42.7272 0.0139643 0.0139643 0.0139643 0.0139643
2933.71 44.1541 44.1541 44.1541 44.1541 0.0134771 0.0134771 0.0134771 0.0134771
3060.95 46.6354 46.6354 46.6354 46.6354 0.012933 0.012933 0.012933 0.012933
3137.69 45.1113 45.1113 45.1113 45.1113 0.0131723 0.0131723 0.0131723 0.0131723
3196.65 49.3287 49.3287 49.3287 49.3287 0.0120731 0.0120731 0.0120731 0.0120731
3173.2 44.4181 44.4181 44.4181 44.4181 0.01291 0.01291 0.01291 0.01291
3156.83 44.9797 44.9797 44.9797 44.9797 0.0127952 0.0127952 0.0127952 0.0127952
3110.84 47.5233 47.5233 47.5233 47.5233 0.0121716 0.0121716 0.0121716 0.0121716
3121.29 47.9258 47.9258 47.9258 47.9258 0.0120635 0.0120635 0.0120635 0.0120635
3148.82 47.576 47.576 47.576 47.576 0.0120159 0.0120159 0.0120159 0.0120159
3167.78 49.3809 49.3809 49.3809 49.3809 0.0116519 0.0116519 0.0116519 0.0116519
3207.33 52.0124 52.0124 52.0124 52.0124 0.0110604 0.0110604 0.0110604 0.0110604
3249.25 45.8683 45.8683 45.8683 45.8683 0.0123665 0.0123665 0.0123665 0.0123665
3219.02 50.1964 50.1964 50.1964 50.1964 0.0114219 0.0114219 0.0114219 0.0114219
3265.2 53.298 53.298 53.298 53.298 0.0106974 0.0106974 0.0106974 0.0106974
3257.91 58.5917 58.5917 58.5917 58.5917 0.0099634 0.0099634 0.0099634 0.0099634
3235.09 64.5136 64.5136 64.5136 64.5136 0.0092606 0.0092606 0.0092606 0.0092606
3214.58 68.7373 68.7373 68.7373 68.7373 0.00876352 0.00876352 0.00876352 0.00876352
3296.54 75.1159 75.1159 75.1159 75.1159 0.00833063 0.00833063 0.00833063 0.00833063
3306.1 79.4598 79.4598 79.4598 79.4598 0.0080085 0.0080085 0.0080085 0.0080085
3254.78 83.426 83.426 83.426 83.426 0.00768499 0.00768499 0.00768499 0.00768499
3259.57 82.4408 82.4408 82.4408 82.4408 0.00771448 0.00771448 0.00771448 0.00771448
3250.21 82.1485 82.1485 82.1485 82.1485 0.00767336 0.00767336 0.00767336 0.00767336
3228.06 83.3475 83.3475 83.3475 83.3475 0.00757207 0.00757207 0.00757207 0.00757207
3201.48 79.1196 79.1196 79.1196 79.1196 0.00777446 0.00777446 0.00777446 0.00777446
3153.1 79.0281 79.0281 79.0281 79.0281 0.00777827 0.00777827 0.00777827 0.00777827
3180 79.1157 79.1157 79.1157 79.1157 0.00777861 0.00777861 0.00777861 0.00777861
3207.72 76.4599 76.4599 76.4599 76.4599 0.00793333 0.00793333 0.00793333 0.00793333
3171.12 76.9312 76.9312 76.9312 76.9312 0.00781321 0.00781321 0.00781321 0.00781321
3163.61 79.6725 79.6725 79.6725 79.6725 0.00755758 0.00755758 0.00755758 0.00755758
3128.02 83.2476 83.2476 83.2476 83.2476 0.00732406 0.00732406 0.00732406 0.00732406
