Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.00483401 0.00483401 0.00483401 0.00483401 0.658236 0.658236 0.658236 0.658236
0 0.00483401 0.00483401 0.00483401 0.00483401 0.658236 0.658236 0.658236 0.658236
0 0.00483401 0.00483401 0.00483401 0.00483401 0.658236 0.658236 0.658236 0.658236
0 0.00483401 0.00483401 0.00483401 0.00483401 0.658236 0.658236 0.658236 0.658236
84.6168 0.00483401 0.00483401 0.00483401 0.00483401 0.658236 0.658236 0.658236 0.658236
84.6168 0.00483401 0.00483401 0.00483401 0.00483401 0.658236 0.658236 0.658236 0.658236
84.6168 0.00483403 0.00483403 0.00483403 0.00483403 0.658235 0.658235 0.658235 0.658235
84.6165 0.00483419 0.00483419 0.00483419 0.00483419 0.658229 0.658229 0.658229 0.658229
84.6129 0.0048358 0.0048358 0.0048358 0.0048358 0.658166 0.658166 0.658166 0.658166
84.5775 0.00485195 0.00485195 0.00485195 0.00485195 0.657541 0.657541 0.657541 0.657541
84.2394 0.00501693 0.00501693 0.00501693 0.00501693 0.651319 0.651319 0.651319 0.651319
82.3488 0.00708482 0.00708482 0.00708482 0.00708482 0.593126 0.593126 0.593126 0.593126
233.248 0.540126 0.540126 0.540126 0.540126 0.391588 0.391588 0.391588 0.391588
61824.5 28007.9 28007.9 28007.9 28007.9 0.356667 0.356667 0.356667 0.356667
5920.85 120.101 120.101 120.101 120.101 0.378577 0.378577 0.378577 0.378577
1090.55 164.243 164.243 164.243 164.243 1.74746 1.74746 1.74746 1.74746
299.278 5.7075 5.7075 5.7075 5.7075 0.884978 0.884978 0.884978 0.884978
53743.1 492.705 492.705 492.705 492.705 0.326654 0.326654 0.326654 0.326654
1532.98 34.3654 34.3654 34.3654 34.3654 0.320251 0.320251 0.320251 0.320251
1477.16 37.4435 37.4435 37.4435 37.4435 0.297642 0.297642 0.297642 0.297642
3279.52 40.6952 40.6952 40.6952 40.6952 0.320228 0.320228 0.320228 0.320228
1835.61 34.5918 34.5918 34.5918 34.5918 0.357632 0.357632 0.357632 0.357632
2262.13 36.6798 36.6798 36.6798 36.6798 0.342926 0.342926 0.342926 0.342926
1690.26 100.568 100.568 100.568 100.568 0.386178 0.386178 0.386178 0.386178
2003.92 52.8322 52.8322 52.8322 52.8322 0.358809 0.358809 0.358809 0.358809
1583.79 47.9004 47.9004 47.9004 47.9004 0.391296 0.391296 0.391296 0.391296
2712.49 109.765 109.765 109.765 109.765 0.378778 0.378778 0.378778 0.378778
3515.88 287.385 287.385 287.385 287.385 0.354207 0.354207 0.354207 0.354207
2863.86 184.586 184.586 184.586 184.586 0.363119 0.363119 0.363119 0.363119
2482.82 179.566 179.566 179.566 179.566 0.595383 0.595383 0.595383 0.595383
2696 180.546 180.546 180.546 180.546 1.29277 1.29277 1.29277 1.29277
2303.9 184.522 184.522 184.522 184.522 2.47188 2.47188 2.47188 2.47188
2557.01 246.886 246.886 246.886 246.886 2.51297 2.51297 2.51297 2.51297
2977.13 395.124 395.124 395.124 395.124 2.54474 2.54474 2.54474 2.54474
3885.52 443.898 443.898 443.898 443.898 2.63273 2.63273 2.63273 2.63273
4082.62 392.73 392.73 392.73 392.73 2.21738 2.21738 2.21738 2.21738
6355.61 516.012 516.012 516.012 516.012 1.76859 1.76859 1.76859 1.76859
4512.53 423.242 423.242 423.242 423.242 2.04045 2.04045 2.04045 2.04045
