"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1987 5741.8 33757 748.69 0.192549888074803 0.540834011400364 1.39216751205035 0.0745492786681281
"V2" 1988 6541.9 35666 372.28 0.214209665129499 0.601671980342614 1.58616124683587 0.0858571188246509
"V3" 1989 8061.2 36427 382.31 0.127492211821791 0.358100048934317 1.95453355187229 0.0575114612787218
"V4" 1990 8736.6 38578 479.32 0.200628568166988 0.563525403250869 2.11829229262237 0.10533257296905
"V5" 1991 8783.3 41043 749.54 0.186429896619889 0.523644183032294 2.12961526151936 0.0973800648100772
"V6" 1992 9273.2 43484 607.39 0.144006045161369 0.404484094222212 2.24839732710045 0.0708449084720817
"V7" 1993 10799 44948 372.41 0.0591546546113203 0.166153558780645 2.61834563423174 0.0314211978286019
"V8" 1994 11640 46470 308.27 0.161524248835857 0.453689214310994 2.8222560591219 0.0851035076393372
"V9" 1995 11429 43987 292.01 0.14002980306397 0.393315627777819 2.7710966065038 0.0975974719803578
"V10" 1996 10398 40236 253.06 0.181790564322877 0.510613229228584 2.52111842807126 0.151038870663088
"V11" 1997 8964.3 33927 193.59 0.223353401910856 0.627354902789857 2.17350085831499 0.183222801898193
"V12" 1998 7563.2 28279 264.68 0.23569893205516 0.662031020535581 1.83378754521914 0.167078751016655
"V13" 1999 6542.2 26106 407.88 0.195635900076321 0.549502000079547 1.5862339853941 0.17434689343446
"V14" 2000 6130.3 27192 639.49 0.172199773899569 0.48367462277703 1.48636394495146 0.148875404530744
"V15" 2001 6474.7 30973 718.03 0.18777703575681 0.527428026640927 1.56986780979352 0.073648338875795
"V16" 2002 8117.6 39293 912.06 0.0500766724042469 0.140655327742643 1.96820840081855 0.0197406917262617
"V17" 2003 10310 47685 642.47 0.105589114015314 0.296578640808804 2.49978178432533 0.0438169235608682
"V18" 2004 12700 51075 347.84 0.0752680151514303 0.211412756306963 3.07926563151616 0.0332342633382281
"V19" 2005 14109 54527 544.91 0.0901842932102964 0.253309589270095 3.42089439331193 0.0530804922332056
"V20" 2006 14319 54523 398.4 0.07403628263946 0.207953066758027 3.47181138406929 0.0546703226161436
"V21" 2007 14144 52767 322.75 0.078567276166302 0.220679718688353 3.42938055843816 0.0562832831125514
"V22" 2008 13592 49744 270.06 0.0830925692909757 0.233390359332449 3.29554161130454 0.0622344403345127
"V23" 2009 12577 46333 302.52 0.0954645790782451 0.268140853083627 3.049442822644 0.0648043511104396
"V24" 2010 11362 42016 188.9 0.10030898567911 0.281747819470343 2.75485166183359 0.0702011138613861
"V25" 2011 10080 38104 248.75 0.124506170756053 0.349712858560245 2.44401555635299 0.0695349569598992
"V26" 2012 9009.2 35017 271.03 0.086613464178197 0.243279846803016 2.18438739586263 0.0792549333181026
"V27" 2013 8312.1 31557 187.33 0.0686317516014393 0.192772823184503 2.01536723273429 0.0613866970878094
"V28" 2014 7849.4 29240 198.43 0.067515370224185 0.189637131834329 1.90318012976559 0.0586070451436389
"V29" 2015 7105.4 26882 144.25 0.13452570270752 0.377855713961757 1.72278850536811 0.0961948515735436
"V30" 2016 6424.8 23722 146.83 0.100993411191151 0.283670233442551 1.55776896294213 0.0912789815361268
"V31" 2017 5774.2 21301 152.39 0.111403113839387 0.312909000065691 1.40002327633863 0.0935566405333083
"V32" 2018 5255.9 19211 138.69 0.0869519162410266 0.244230490756316 1.27435529391227 0.0893592212794753
"V33" 2019 4892.7 18027 185.12 0.078425982271857 0.220282852481454 1.18629314608812 0.0816858046263937
"V34" 2020 4558 18169 268.32 0.11009628256417 0.309238373155097 1.10514116129533 0.0804149925697617
