Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.0026006 0.0026006 0.0026006 0.0026006 0.650173 0.650173 0.650173 0.650173
0 0.0026006 0.0026006 0.0026006 0.0026006 0.650173 0.650173 0.650173 0.650173
0 0.0026006 0.0026006 0.0026006 0.0026006 0.650173 0.650173 0.650173 0.650173
0 0.0026006 0.0026006 0.0026006 0.0026006 0.650173 0.650173 0.650173 0.650173
74.8292 0.0026006 0.0026006 0.0026006 0.0026006 0.650173 0.650173 0.650173 0.650173
74.8292 0.0026006 0.0026006 0.0026006 0.0026006 0.650173 0.650173 0.650173 0.650173
74.8292 0.00260061 0.00260061 0.00260061 0.00260061 0.650173 0.650173 0.650173 0.650173
74.8288 0.00260066 0.00260066 0.00260066 0.00260066 0.650169 0.650169 0.650169 0.650169
74.8251 0.00260119 0.00260119 0.00260119 0.00260119 0.650132 0.650132 0.650132 0.650132
74.7874 0.00260655 0.00260655 0.00260655 0.00260655 0.649762 0.649762 0.649762 0.649762
74.4164 0.00266075 0.00266075 0.00266075 0.00266075 0.646078 0.646078 0.646078 0.646078
71.2825 0.00327776 0.00327776 0.00327776 0.00327776 0.610876 0.610876 0.610876 0.610876
86.5632 0.0395236 0.0395236 0.0395236 0.0395236 0.433022 0.433022 0.433022 0.433022
23106.7 2523.46 2523.46 2523.46 2523.46 0.378391 0.378391 0.378391 0.378391
42469.6 323.729 323.729 323.729 323.729 0.298359 0.298359 0.298359 0.298359
14713.4 1731.73 1731.73 1731.73 1731.73 0.376661 0.376661 0.376661 0.376661
11171.1 228.817 228.817 228.817 228.817 0.370887 0.370887 0.370887 0.370887
13613.4 198.382 198.382 198.382 198.382 0.374817 0.374817 0.374817 0.374817
8092.52 476.307 476.307 476.307 476.307 0.369203 0.369203 0.369203 0.369203
2307.55 78.8447 78.8447 78.8447 78.8447 0.37714 0.37714 0.37714 0.37714
651.079 15.0281 15.0281 15.0281 15.0281 0.478092 0.478092 0.478092 0.478092
895.118 22.8552 22.8552 22.8552 22.8552 0.406465 0.406465 0.406465 0.406465
2038.64 44.9995 44.9995 44.9995 44.9995 0.521426 0.521426 0.521426 0.521426
1679.25 38.1983 38.1983 38.1983 38.1983 0.69795 0.69795 0.69795 0.69795
13876.7 239.493 239.493 239.493 239.493 0.646813 0.646813 0.646813 0.646813
3562.79 76.2677 76.2677 76.2677 76.2677 0.676887 0.676887 0.676887 0.676887
2633.71 104.818 104.818 104.818 104.818 0.705163 0.705163 0.705163 0.705163
3708.18 144.775 144.775 144.775 144.775 0.658092 0.658092 0.658092 0.658092
4457 149.481 149.481 149.481 149.481 0.668451 0.668451 0.668451 0.668451
4127.16 110.295 110.295 110.295 110.295 0.715836 0.715836 0.715836 0.715836
4197.15 95.1838 95.1838 95.1838 95.1838 0.770515 0.770515 0.770515 0.770515
4409.57 104.958 104.958 104.958 104.958 0.808031 0.808031 0.808031 0.808031
3864.82 124.062 124.062 124.062 124.062 0.823282 0.823282 0.823282 0.823282
4006.41 114.759 114.759 114.759 114.759 0.8155 0.8155 0.8155 0.8155
3170.07 124.318 124.318 124.318 124.318 0.798088 0.798088 0.798088 0.798088
3721.09 116.531 116.531 116.531 116.531 0.801678 0.801678 0.801678 0.801678
3228.71 107.886 107.886 107.886 107.886 0.768466 0.768466 0.768466 0.768466
2835.01 97.6267 97.6267 97.6267 97.6267 0.739606 0.739606 0.739606 0.739606
2744.92 97.7424 97.7424 97.7424 97.7424 0.653964 0.653964 0.653964 0.653964
3773.03 107.629 107.629 107.629 107.629 0.570262 0.570262 0.570262 0.570262
2734.85 96.7494 96.7494 96.7494 96.7494 0.647333 0.647333 0.647333 0.647333
2662.86 93.3048 93.3048 93.3048 93.3048 0.647878 0.647878 0.647878 0.647878
2616.05 90.342 90.342 90.342 90.342 0.644329 0.644329 0.644329 0.644329
2386.01 77.4982 77.4982 77.4982 77.4982 0.663718 0.663718 0.663718 0.663718
2260.39 76.213 76.213 76.213 76.213 0.685794 0.685794 0.685794 0.685794
2186.64 82.7237 82.7237 82.7237 82.7237 0.733808 0.733808 0.733808 0.733808
2195.66 76.2476 76.2476 76.2476 76.2476 0.700281 0.700281 0.700281 0.700281
2191.68 78.2973 78.2973 78.2973 78.2973 0.705253 0.705253 0.705253 0.705253
2113.51 80.5929 80.5929 80.5929 80.5929 0.709538 0.709538 0.709538 0.709538
2112.23 84.6192 84.6192 84.6192 84.6192 0.69907 0.69907 0.69907 0.69907
1864.39 86.2475 86.2475 86.2475 86.2475 0.720012 0.720012 0.720012 0.720012
1847.36 86.4646 86.4646 86.4646 86.4646 0.722507 0.722507 0.722507 0.722507
1864.63 89.802 89.802 89.802 89.802 0.678897 0.678897 0.678897 0.678897
1850.24 87.764 87.764 87.764 87.764 0.702046 0.702046 0.702046 0.702046
1827.68 87.8214 87.8214 87.8214 87.8214 0.687131 0.687131 0.687131 0.687131
1836.45 87.6906 87.6906 87.6906 87.6906 0.694204 0.694204 0.694204 0.694204
1813.14 87.0397 87.0397 87.0397 87.0397 0.686206 0.686206 0.686206 0.686206
1857.79 90.558 90.558 90.558 90.558 0.674984 0.674984 0.674984 0.674984
1828.9 90.48 90.48 90.48 90.48 0.684378 0.684378 0.684378 0.684378
1811.49 89.7892 89.7892 89.7892 89.7892 0.681357 0.681357 0.681357 0.681357
