"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1979 3886.1 17355 146.59 0.0430324842853348 0.106081483737005 1.32776411097444 0.00893500432152118
"V2" 1980 3637.1 17158 123.68 0.125971448111314 0.310538383876234 1.24268826021594 0.024850623615806
"V3" 1981 3592.6 16898 156.06 3.07383345474242e-05 7.57745733379946e-05 1.22748394150608 5.91786010178719e-06
"V4" 1982 3638 17352 177.26 0.0192258413734366 0.0473945628019786 1.24299576329097 0.00363622060857538
"V5" 1983 3634.1 18007 196.44 0.0640558448701232 0.157907199147362 1.24166324996583 0.0115170766923974
"V6" 1984 3797.8 19039 245.98 1.268830551879e-07 3.12785631109932e-07 1.29759464261309 0.0511934450338778
"V7" 1985 4216.1 22112 575.15 3.26311005090707e-08 8.04405233734842e-08 1.44051523848572 0.0861165882778582
"V8" 1986 3611.1 24565 421.76 0.818730753077982 2.01829326170756 1.23380483804838 0.109452880113983
"V9" 1987 3351.6 25263 238.08 0.818730753077982 2.01829326170756 1.14514145141451 0.109910541107549
"V10" 1988 3661.4 25121 219.27 0.40669571587281 1.002565519648 1.25099084324177 0.14145854066319
"V11" 1989 4822.7 33522 1527.1 1.58040436885948e-08 3.89593218094065e-08 1.64777231105644 0.0611359704074936
"V12" 1990 5133.6 38404 280.05 0.818730753077982 2.01829326170756 1.7539975399754 0.124494323507968
"V13" 1991 5610.8 42032 733.83 0.818730753077982 2.01829326170756 1.91704250375837 0.111006138180434
"V14" 1992 5810.4 43845 480.54 0.818730753077982 2.01829326170756 1.98523985239852 0.0712484889953244
"V15" 1993 6697.9 43880 180.44 0.105694755941489 0.260553317329969 2.28847205138718 0.0323821786690975
"V16" 1994 7007.3 43876 219.52 0.289673746897341 0.714088934925839 2.39418477518109 0.0949810830522381
"V17" 1995 6659.5 39278 178.1 0.223331067687395 0.550544348491685 2.27535192018587 0.106831559651713
"V18" 1996 5835.8 34417 220.72 0.287193234166973 0.707974101556675 1.99391827251606 0.162851497806317
"V19" 1997 4604.5 27634 126.15 0.424157682583324 1.04561186866506 1.57321989886566 0.216058478685677
"V20" 1998 3061.5 22184 294.62 0.818730753077982 2.01829326170756 1.0460229602296 0.254139019112874
"V21" 1999 2718.2 19869 492.96 0.378992069090972 0.934271903689027 0.928727620609539 0.160162061502844
"V22" 2000 3249 22478 594.89 0.205009286678305 0.505378429153604 1.11008610086101 0.0949461695880416
"V23" 2001 4012.6 27334 592.91 0.415089964631805 1.0232585932179 1.37098537652043 0.0918559303431624
"V24" 2002 5349.5 32205 594.76 0.0856402410992619 0.211115950991019 1.82776411097444 0.0247775500698649
"V25" 2003 6698.3 38455 546.51 0.178565463981956 0.440190467224503 2.28860871942053 0.0576731244311533
"V26" 2004 7840.9 41369 399.95 0.125971448111314 0.310538383876234 2.67900095667623 0.0430672725954217
"V27" 2005 8595.7 45194 612.96 0.159837117164847 0.394022302608984 2.93689353560202 0.068995441872815
"V28" 2006 9130.1 46489 488.51 0.126110092944914 0.310880164043126 3.11948202815361 0.0666181247176752
"V29" 2007 9416 45156 204.42 0.129315516052211 0.318782009471623 3.21716550498838 0.0682553813446718
"V30" 2008 9478.1 45847 650.46 0.128722030741099 0.317318979776161 3.2383832171655 0.069094815364146
"V31" 2009 9281.4 44435 288.9 0.143015823642696 0.352555308433757 3.17117671176712 0.0695721840891189
"V32" 2010 8958.6 41907 222.76 0.140282083693936 0.345816232251387 3.06088560885609 0.0718784451284988
"V33" 2011 8445.3 40047 389.12 0.159869087785236 0.394101114950477 2.88550635506355 0.0674202811696257
"V34" 2012 8033.7 37583 231.47 0.102130895417683 0.251767870278151 2.74487494874949 0.0738794135646436
"V35" 2013 7712.8 33974 124.73 0.0767347967565011 0.189162704161174 2.63523301899686 0.057178724907282
"V36" 2014 7283.3 30719 118.44 0.071876924828543 0.177187326246547 2.48848571819052 0.0554878088479443
"V37" 2015 6419.8 27535 128.97 0.149299637863882 0.368045846504745 2.19345360120268 0.0964398038859633
"V38" 2016 5570.8 23865 181.62 0.113245188632808 0.279166258601048 1.90337570042367 0.0921965221034989
"V39" 2017 4844.6 20747 117.13 0.1263372955332 0.311440252266581 1.65525488588219 0.094706222586398
"V40" 2018 4316.9 18103 106.95 0.0988946635349364 0.243790076628999 1.47495558288916 0.0913826437607026
"V41" 2019 3920.2 16118 123.24 0.0875977470480576 0.215941494738282 1.33941506081727 0.0842015138354635
"V42" 2020 3514.8 14601 107.02 0.130145789395646 0.320828756937907 1.20090200902009 0.093312786795425
