"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1979 491.8 12857 148.92 0.818730753077982 2.13673536501643 0.180242913792724 0.0156151512794587
"V2" 1980 679.71 13359 129.27 0.818730753077982 2.13673536501643 0.249111246307549 0.0318160041919305
"V3" 1981 1051.5 13790 155.57 0.000184899153080653 0.000482552484884355 0.385370930974074 7.25163161711385e-06
"V4" 1982 1523.7 14794 166.64 3.33569396758277e-08 8.70554237838334e-08 0.558430515953587 0.00426312694335541
"V5" 1983 2019.6 15805 176.69 3.95217411733976e-09 1.03144411926324e-08 0.740176064855197 0.0131142676368238
"V6" 1984 2523.8 16918 209.59 4.19410825471335e-08 1.09458444047231e-07 0.924963533611382 0.057525771367774
"V7" 1985 3195.2 20969 679.71 1.33388488538923e-07 3.48119207292142e-07 1.17102919510068 0.0905064619199771
"V8" 1986 3421.6 24021 423.48 0.534726434631998 1.39553678567942 1.25400397282063 0.111382540277257
"V9" 1987 3479 24939 211.69 0.818730753077982 2.13673536501643 1.27504086434503 0.111218573318898
"V10" 1988 3424.9 24834 200.36 0.818730753077982 2.13673536501643 1.2552134108351 0.144110896351776
"V11" 1989 3293.5 30993 1235.8 0.818730753077982 2.13673536501643 1.20705578807714 0.0661046042654793
"V12" 1990 3515.6 34043 175.78 0.818730753077982 2.13673536501643 1.2884546314146 0.138293334899979
"V13" 1991 4418.1 39520 1098.3 0.818730753077982 2.13673536501643 1.61921760355355 0.117493927125506
"V14" 1992 5060.2 40440 232.77 0.818730753077982 2.13673536501643 1.85454492145983 0.0763330860534125
"V15" 1993 6180 40566 188.84 0.113165944739364 0.295342119898436 2.26494755436974 0.0352935956219494
"V16" 1994 6583.8 41290 295.42 0.29372832602224 0.766576434999282 2.41293878777661 0.102043351901187
"V17" 1995 6300.6 37122 169.32 0.211781541547959 0.552710531248505 2.30914701635307 0.111948170895965
"V18" 1996 5550.2 32509 186.04 0.28156273402907 0.7348264970002 2.03412814179011 0.167999015657203
"V19" 1997 4384.5 25984 106.46 0.421877622954939 1.10102232423536 1.60690332558804 0.224087900246305
"V20" 1998 2841.2 20599 266.23 0.818730753077982 2.13673536501643 1.04128948082124 0.264492451089859
"V21" 1999 2438.7 18191 455.37 0.401977163174655 1.04908581637516 0.893774692692795 0.172441866857237
"V22" 2000 2893.9 20523 565.41 0.218253073911921 0.569600030043979 1.06060383941595 0.0997987623641768
"V23" 2001 3563.5 24617 494.25 0.451929086379107 1.17945106827302 1.30600980744281 0.0938631839785514
"V24" 2002 4792.3 29558 619.39 0.0968782735883323 0.252834320073733 1.756360544467 0.027647438933622
"V25" 2003 5994.9 34980 442.63 0.195635900076321 0.510573402536011 2.19710907664905 0.0656589479702687
"V26" 2004 7029.5 37843 432.13 0.133988674668805 0.349685581737575 2.57628621900357 0.0479190339032318
"V27" 2005 7698.8 41251 540.68 0.170605739750083 0.445249327972991 2.82158223812002 0.0777719328016291
"V28" 2006 8189.8 42468 481.25 0.133360405486977 0.348045915736861 3.00153195481833 0.0743305547706508
"V29" 2007 8465.4 41239 195 0.137325672860291 0.358394527898372 3.10253835384491 0.0755685152404277
"V30" 2008 8544 41793 591.97 0.135132432487854 0.352670577441948 3.13134496837136 0.075797382336755
"V31" 2009 8369.6 40366 257.45 0.147932380224386 0.3860760662381 3.0674280017885 0.0766992022989645
"V32" 2010 8057.8 38157 236.08 0.147888007166611 0.385960260789914 2.95315443423956 0.079220326545588
"V33" 2011 7573.9 36376 349.16 0.168435902862786 0.439586456270695 2.7758068417542 0.0739932922806246
"V34" 2012 7218.3 34189 225.55 0.105336003995194 0.274907427258452 2.64548073328593 0.0808777677030624
"V35" 2013 6954.3 30902 119.3 0.0802827901842213 0.209523187377427 2.54872569212839 0.0625169891916381
"V36" 2014 6592.3 27929 104.67 0.0745638107549544 0.194597712119076 2.41605400690479 0.0604980486232948
"V37" 2015 5817.8 25200 142.92 0.151147363627913 0.394466576439933 2.13220256987253 0.103170634920635
"V38" 2016 5058.7 21855 165.17 0.115025665184666 0.30019564522356 1.8539951769078 0.0982667581789064
"V39" 2017 4412.4 19057 114.07 0.130850477604154 0.341495469633907 1.61712857425583 0.100903080232985
"V40" 2018 3955.3 16767 115.42 0.102571003822917 0.267691289804022 1.44960308443343 0.0966642810282102
"V41" 2019 3628.5 15113 128.2 0.089126372557643 0.232603296607093 1.32983207136417 0.0878740157480315
"V42" 2020 3279.8 13618 75.001 0.131927862762717 0.344307245008644 1.20203478783525 0.0988184755470701
