Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
119.205 0.00200182 0.00200182 0.00200182 0.00200182 0.78995 0.78995 0.78995 0.78995
119.205 0.00200182 0.00200182 0.00200182 0.00200182 0.78995 0.78995 0.78995 0.78995
119.205 0.00200183 0.00200183 0.00200183 0.00200183 0.78995 0.78995 0.78995 0.78995
119.21 0.00200192 0.00200192 0.00200192 0.00200192 0.78995 0.78995 0.78995 0.78995
119.262 0.00200279 0.00200279 0.00200279 0.00200279 0.78995 0.78995 0.78995 0.78995
119.784 0.00201154 0.00201154 0.00201154 0.00201154 0.78995 0.78995 0.78995 0.78995
125.123 0.00210121 0.00210121 0.00210121 0.00210121 0.78995 0.78995 0.78995 0.78995
193.529 0.00324995 0.00324995 0.00324995 0.00324995 0.78995 0.78995 0.78995 0.78995
525.071 0.00881759 0.00881759 0.00881759 0.00881759 0.78995 0.78995 0.78995 0.78995
4446 0.0746623 0.0746623 0.0746623 0.0746623 0.78995 0.78995 0.78995 0.78995
646384 10.8548 10.8548 10.8548 10.8548 0.78995 0.78995 0.78995 0.78995
646413 10.8553 10.8553 10.8553 10.8553 0.78995 0.78995 0.78995 0.78995
646413 10.8553 10.8553 10.8553 10.8553 0.78995 0.78995 0.78995 0.78995
646413 10.8553 10.8553 10.8553 10.8553 0.78995 0.78995 0.78995 0.78995
646412 10.8553 10.8553 10.8553 10.8553 0.789951 0.789951 0.789951 0.789951
646398 10.8549 10.8549 10.8549 10.8549 0.789958 0.789958 0.789958 0.789958
646264 10.8508 10.8508 10.8508 10.8508 0.790033 0.790033 0.790033 0.790033
644926 10.8103 10.8103 10.8103 10.8103 0.790779 0.790779 0.790779 0.790779
631897 10.4163 10.4163 10.4163 10.4163 0.798274 0.798274 0.798274 0.798274
616764 10.1374 10.1374 10.1374 10.1374 0.803265 0.803265 0.803265 0.803265
537053 8.82018 8.82018 8.82018 8.82018 0.866481 0.866481 0.866481 0.866481
613768 10.0817 10.0817 10.0817 10.0817 0.804325 0.804325 0.804325 0.804325
586357 9.56463 9.56463 9.56463 9.56463 0.815461 0.815461 0.815461 0.815461
595695 9.74246 9.74246 9.74246 9.74246 0.811338 0.811338 0.811338 0.811338
296767 3.40614 3.40614 3.40614 3.40614 1.02885 1.02885 1.02885 1.02885
556971 8.79968 8.79968 8.79968 8.79968 0.827484 0.827484 0.827484 0.827484
492803 7.73622 7.73622 7.73622 7.73622 0.840561 0.840561 0.840561 0.840561
294292 6.50213 6.50213 6.50213 6.50213 0.714994 0.714994 0.714994 0.714994
196309 5.74513 5.74513 5.74513 5.74513 0.579941 0.579941 0.579941 0.579941
269094 6.3462 6.3462 6.3462 6.3462 0.683838 0.683838 0.683838 0.683838
249296 6.22364 6.22364 6.22364 6.22364 0.655933 0.655933 0.655933 0.655933
232927 6.14928 6.14928 6.14928 6.14928 0.625946 0.625946 0.625946 0.625946
224859 6.03682 6.03682 6.03682 6.03682 0.613178 0.613178 0.613178 0.613178
228523 6.08668 6.08668 6.08668 6.08668 0.619377 0.619377 0.619377 0.619377
220107 5.75061 5.75061 5.75061 5.75061 0.625186 0.625186 0.625186 0.625186
212759 5.63673 5.63673 5.63673 5.63673 0.621306 0.621306 0.621306 0.621306
211285 5.60608 5.60608 5.60608 5.60608 0.620887 0.620887 0.620887 0.620887
212584 5.67034 5.67034 5.67034 5.67034 0.617956 0.617956 0.617956 0.617956
209159 5.56026 5.56026 5.56026 5.56026 0.618302 0.618302 0.618302 0.618302
211973 5.6123 5.6123 5.6123 5.6123 0.617874 0.617874 0.617874 0.617874
212871 5.76148 5.76148 5.76148 5.76148 0.609781 0.609781 0.609781 0.609781
211965 5.64331 5.64331 5.64331 5.64331 0.615904 0.615904 0.615904 0.615904
210519 5.58247 5.58247 5.58247 5.58247 0.61792 0.61792 0.61792 0.61792
210785 5.5906 5.5906 5.5906 5.5906 0.61771 0.61771 0.61771 0.61771
210002 5.57411 5.57411 5.57411 5.57411 0.617437 0.617437 0.617437 0.617437
210496 5.59286 5.59286 5.59286 5.59286 0.616838 0.616838 0.616838 0.616838
209858 5.5738 5.5738 5.5738 5.5738 0.617166 0.617166 0.617166 0.617166
209921 5.57782 5.57782 5.57782 5.57782 0.616906 0.616906 0.616906 0.616906
209878 5.57579 5.57579 5.57579 5.57579 0.616927 0.616927 0.616927 0.616927
209577 5.55934 5.55934 5.55934 5.55934 0.617111 0.617111 0.617111 0.617111
208390 5.53415 5.53415 5.53415 5.53415 0.617027 0.617027 0.617027 0.617027
205575 5.4797 5.4797 5.4797 5.4797 0.616098 0.616098 0.616098 0.616098
202791 5.41832 5.41832 5.41832 5.41832 0.615304 0.615304 0.615304 0.615304
195740 5.29651 5.29651 5.29651 5.29651 0.613208 0.613208 0.613208 0.613208
190260 5.09227 5.09227 5.09227 5.09227 0.617706 0.617706 0.617706 0.617706
203617 5.64208 5.64208 5.64208 5.64208 0.596345 0.596345 0.596345 0.596345
192316 5.18865 5.18865 5.18865 5.18865 0.612681 0.612681 0.612681 0.612681
183764 4.92324 4.92324 4.92324 4.92324 0.6211 0.6211 0.6211 0.6211
190868 5.14314 5.14314 5.14314 5.14314 0.613875 0.613875 0.613875 0.613875
190787 5.16212 5.16212 5.16212 5.16212 0.611746 0.611746 0.611746 0.611746
190806 5.15231 5.15231 5.15231 5.15231 0.612784 0.612784 0.612784 0.612784
190318 5.13845 5.13845 5.13845 5.13845 0.61306 0.61306 0.61306 0.61306
190436 5.14075 5.14075 5.14075 5.14075 0.613019 0.613019 0.613019 0.613019
190186 5.13565 5.13565 5.13565 5.13565 0.613028 0.613028 0.613028 0.613028
188168 5.09844 5.09844 5.09844 5.09844 0.612926 0.612926 0.612926 0.612926
186724 5.05107 5.05107 5.05107 5.05107 0.613108 0.613108 0.613108 0.613108
177936 4.91913 4.91913 4.91913 4.91913 0.607452 0.607452 0.607452 0.607452
189430 4.92341 4.92341 4.92341 4.92341 0.629523 0.629523 0.629523 0.629523
179704 4.89268 4.89268 4.89268 4.89268 0.613225 0.613225 0.613225 0.613225
181238 4.96515 4.96515 4.96515 4.96515 0.611219 0.611219 0.611219 0.611219
179285 4.8951 4.8951 4.8951 4.8951 0.612068 0.612068 0.612068 0.612068
179521 4.88207 4.88207 4.88207 4.88207 0.615246 0.615246 0.615246 0.615246
179265 4.89154 4.89154 4.89154 4.89154 0.612606 0.612606 0.612606 0.612606
179304 4.8942 4.8942 4.8942 4.8942 0.612354 0.612354 0.612354 0.612354
179100 4.88951 4.88951 4.88951 4.88951 0.612327 0.612327 0.612327 0.612327
177322 4.84917 4.84917 4.84917 4.84917 0.612071 0.612071 0.612071 0.612071
176853 4.8411 4.8411 4.8411 4.8411 0.611411 0.611411 0.611411 0.611411
175752 4.8219 4.8219 4.8219 4.8219 0.610792 0.610792 0.610792 0.610792
172881 4.73681 4.73681 4.73681 4.73681 0.60857 0.60857 0.60857 0.60857
173651 4.76788 4.76788 4.76788 4.76788 0.609347 0.609347 0.609347 0.609347
189555 5.11455 5.11455 5.11455 5.11455 0.617216 0.617216 0.617216 0.617216
174761 4.79214 4.79214 4.79214 4.79214 0.609903 0.609903 0.609903 0.609903
175635 4.8097 4.8097 4.8097 4.8097 0.610034 0.610034 0.610034 0.610034
175134 4.79913 4.79913 4.79913 4.79913 0.609988 0.609988 0.609988 0.609988
174555 4.78954 4.78954 4.78954 4.78954 0.609518 0.609518 0.609518 0.609518
174866 4.79796 4.79796 4.79796 4.79796 0.609526 0.609526 0.609526 0.609526
174717 4.79548 4.79548 4.79548 4.79548 0.60925 0.60925 0.60925 0.60925
174191 4.79751 4.79751 4.79751 4.79751 0.606146 0.606146 0.606146 0.606146
173156 4.78919 4.78919 4.78919 4.78919 0.604706 0.604706 0.604706 0.604706
175680 4.86763 4.86763 4.86763 4.86763 0.601722 0.601722 0.601722 0.601722
197303 5.36932 5.36932 5.36932 5.36932 0.601702 0.601702 0.601702 0.601702
175110 4.86029 4.86029 4.86029 4.86029 0.601178 0.601178 0.601178 0.601178
178944 4.96202 4.96202 4.96202 4.96202 0.600149 0.600149 0.600149 0.600149
175774 4.87797 4.87797 4.87797 4.87797 0.600988 0.600988 0.600988 0.600988
175648 4.87362 4.87362 4.87362 4.87362 0.601064 0.601064 0.601064 0.601064
175625 4.87302 4.87302 4.87302 4.87302 0.601056 0.601056 0.601056 0.601056
175564 4.8727 4.8727 4.8727 4.8727 0.600856 0.600856 0.600856 0.600856
173843 4.83151 4.83151 4.83151 4.83151 0.600778 0.600778 0.600778 0.600778
172194 4.79922 4.79922 4.79922 4.79922 0.601233 0.601233 0.601233 0.601233
173717 4.8524 4.8524 4.8524 4.8524 0.599286 0.599286 0.599286 0.599286
172088 4.79516 4.79516 4.79516 4.79516 0.601227 0.601227 0.601227 0.601227
172073 4.79647 4.79647 4.79647 4.79647 0.601019 0.601019 0.601019 0.601019
172024 4.79635 4.79635 4.79635 4.79635 0.600888 0.600888 0.600888 0.600888
172166 4.81622 4.81622 4.81622 4.81622 0.599137 0.599137 0.599137 0.599137
170234 4.76341 4.76341 4.76341 4.76341 0.599276 0.599276 0.599276 0.599276
222230 5.266 5.266 5.266 5.266 0.651042 0.651042 0.651042 0.651042
171544 4.77832 4.77832 4.77832 4.77832 0.601044 0.601044 0.601044 0.601044
170359 4.76516 4.76516 4.76516 4.76516 0.59946 0.59946 0.59946 0.59946
171210 4.7918 4.7918 4.7918 4.7918 0.59905 0.59905 0.59905 0.59905
170753 4.77753 4.77753 4.77753 4.77753 0.599269 0.599269 0.599269 0.599269
170680 4.77572 4.77572 4.77572 4.77572 0.599253 0.599253 0.599253 0.599253
170020 4.75924 4.75924 4.75924 4.75924 0.599087 0.599087 0.599087 0.599087
169579 4.75221 4.75221 4.75221 4.75221 0.598258 0.598258 0.598258 0.598258
177394 4.98271 4.98271 4.98271 4.98271 0.593193 0.593193 0.593193 0.593193
169579 4.75221 4.75221 4.75221 4.75221 0.598258 0.598258 0.598258 0.598258
169579 4.75221 4.75221 4.75221 4.75221 0.598258 0.598258 0.598258 0.598258
169579 4.75222 4.75222 4.75222 4.75222 0.598258 0.598258 0.598258 0.598258
169579 4.75227 4.75227 4.75227 4.75227 0.598258 0.598258 0.598258 0.598258
169579 4.75277 4.75277 4.75277 4.75277 0.598258 0.598258 0.598258 0.598258
169579 4.75777 4.75777 4.75777 4.75777 0.598259 0.598259 0.598259 0.598259
169578 4.80808 4.80808 4.80808 4.80808 0.598261 0.598261 0.598261 0.598261
169567 5.34426 5.34426 5.34426 5.34426 0.598286 0.598286 0.598286 0.598286
169427 16.0599 16.0599 16.0599 16.0599 0.598535 0.598535 0.598535 0.598535
179307 89.2424 89.2424 89.2424 89.2424 0.702133 0.702133 0.702133 0.702133
4.07469e+06 3864.07 3864.07 3864.07 3864.07 1.12878 1.12878 1.12878 1.12878
9.42165e+07 155633 155633 155633 155633 1.36391 1.36391 1.36391 1.36391
6.34505e+07 96420.3 96420.3 96420.3 96420.3 1.35985 1.35985 1.35985 1.35985
8.90358e+07 125653 125653 125653 125653 1.38478 1.38478 1.38478 1.38478
4.50522e+07 28222.6 28222.6 28222.6 28222.6 1.42235 1.42235 1.42235 1.42235
3.14501e+07 8186.23 8186.23 8186.23 8186.23 1.3745 1.3745 1.3745 1.3745
1.43861e+07 3522.47 3522.47 3522.47 3522.47 1.30447 1.30447 1.30447 1.30447
6.97185e+06 1633.53 1633.53 1633.53 1633.53 1.2715 1.2715 1.2715 1.2715
2.6198e+06 540.729 540.729 540.729 540.729 1.283 1.283 1.283 1.283
799834 194.766 194.766 194.766 194.766 1.40587 1.40587 1.40587 1.40587
440929 114.318 114.318 114.318 114.318 1.74961 1.74961 1.74961 1.74961
317249 70.1323 70.1323 70.1323 70.1323 1.86409 1.86409 1.86409 1.86409
395182 101.809 101.809 101.809 101.809 1.80124 1.80124 1.80124 1.80124
341460 77.6849 77.6849 77.6849 77.6849 1.84419 1.84419 1.84419 1.84419
237886 58.7683 58.7683 58.7683 58.7683 1.90529 1.90529 1.90529 1.90529
163226 56.9129 56.9129 56.9129 56.9129 1.94463 1.94463 1.94463 1.94463
91478.2 67.5947 67.5947 67.5947 67.5947 2.01409 2.01409 2.01409 2.01409
48476.4 99.8247 99.8247 99.8247 99.8247 2.00573 2.00573 2.00573 2.00573
24143.9 139.601 139.601 139.601 139.601 1.92509 1.92509 1.92509 1.92509
12990 162.966 162.966 162.966 162.966 1.74119 1.74119 1.74119 1.74119
4394.31 119.427 119.427 119.427 119.427 1.31103 1.31103 1.31103 1.31103
1558.52 104.499 104.499 104.499 104.499 0.817497 0.817497 0.817497 0.817497
1012.49 104.481 104.481 104.481 104.481 0.624141 0.624141 0.624141 0.624141
695.239 85.3687 85.3687 85.3687 85.3687 0.578128 0.578128 0.578128 0.578128
1167.8 117.27 117.27 117.27 117.27 0.608508 0.608508 0.608508 0.608508
771.95 90.0105 90.0105 90.0105 90.0105 0.585956 0.585956 0.585956 0.585956
807.128 91.9922 91.9922 91.9922 91.9922 0.584782 0.584782 0.584782 0.584782
928.296 105.101 105.101 105.101 105.101 0.585263 0.585263 0.585263 0.585263
8787.08 642.868 642.868 642.868 642.868 0.596548 0.596548 0.596548 0.596548
976.699 110.266 110.266 110.266 110.266 0.585341 0.585341 0.585341 0.585341
938.613 106.298 106.298 106.298 106.298 0.587521 0.587521 0.587521 0.587521
970.148 109.746 109.746 109.746 109.746 0.585414 0.585414 0.585414 0.585414
951.435 108.103 108.103 108.103 108.103 0.585639 0.585639 0.585639 0.585639
974.901 105.883 105.883 105.883 105.883 0.593861 0.593861 0.593861 0.593861
917.505 103.846 103.846 103.846 103.846 0.588811 0.588811 0.588811 0.588811
12356.6 1370.32 1370.32 1370.32 1370.32 0.57727 0.57727 0.57727 0.57727
1006.47 112.107 112.107 112.107 112.107 0.589672 0.589672 0.589672 0.589672
838.75 95.9175 95.9175 95.9175 95.9175 0.5919 0.5919 0.5919 0.5919
910.301 102.296 102.296 102.296 102.296 0.591148 0.591148 0.591148 0.591148
900.438 100.928 100.928 100.928 100.928 0.591609 0.591609 0.591609 0.591609
902.085 100.951 100.951 100.951 100.951 0.591182 0.591182 0.591182 0.591182
871.02 97.2857 97.2857 97.2857 97.2857 0.593655 0.593655 0.593655 0.593655
818.677 90.0546 90.0546 90.0546 90.0546 0.599384 0.599384 0.599384 0.599384
751.997 81.2629 81.2629 81.2629 81.2629 0.611178 0.611178 0.611178 0.611178
