Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
110.528 43.6363 43.6363 43.6363 43.6363 0.353155 0.353155 0.353155 0.353155
110.528 43.6363 43.6363 43.6363 43.6363 0.353155 0.353155 0.353155 0.353155
110.528 43.6365 43.6365 43.6365 43.6365 0.353155 0.353155 0.353155 0.353155
110.533 43.6385 43.6385 43.6385 43.6385 0.353155 0.353155 0.353155 0.353155
110.584 43.6587 43.6587 43.6587 43.6587 0.353155 0.353155 0.353155 0.353155
111.096 43.8607 43.8607 43.8607 43.8607 0.353155 0.353155 0.353155 0.353155
116.347 45.9337 45.9337 45.9337 45.9337 0.353155 0.353155 0.353155 0.353155
184.632 72.8927 72.8927 72.8927 72.8927 0.353155 0.353155 0.353155 0.353155
532.773 210.339 210.339 210.339 210.339 0.353155 0.353155 0.353155 0.353155
5233.91 2066.34 2066.34 2066.34 2066.34 0.353155 0.353155 0.353155 0.353155
474379 187285 187285 187285 187285 0.353155 0.353155 0.353155 0.353155
474379 187285 187285 187285 187285 0.353155 0.353155 0.353155 0.353155
474379 187285 187285 187285 187285 0.353155 0.353155 0.353155 0.353155
474378 187284 187284 187284 187284 0.353156 0.353156 0.353156 0.353156
474367 187278 187278 187278 187278 0.353167 0.353167 0.353167 0.353167
474260 187214 187214 187214 187214 0.353267 0.353267 0.353267 0.353267
473197 186584 186584 186584 186584 0.354276 0.354276 0.354276 0.354276
462928 180462 180462 180462 180462 0.36437 0.36437 0.36437 0.36437
456991 175580 175580 175580 175580 0.363656 0.363656 0.363656 0.363656
504124 157775 157775 157775 157775 0.304542 0.304542 0.304542 0.304542
454780 173463 173463 173463 173463 0.362967 0.362967 0.362967 0.362967
403011 145320 145320 145320 145320 0.388944 0.388944 0.388944 0.388944
432688 161729 161729 161729 161729 0.373381 0.373381 0.373381 0.373381
380141 133985 133985 133985 133985 0.400289 0.400289 0.400289 0.400289
408729 149264 149264 149264 149264 0.385113 0.385113 0.385113 0.385113
339481 116767 116767 116767 116767 0.413583 0.413583 0.413583 0.413583
188531 77563.7 77563.7 77563.7 77563.7 0.513721 0.513721 0.513721 0.513721
299263 107018 107018 107018 107018 0.436355 0.436355 0.436355 0.436355
249684 97784.4 97784.4 97784.4 97784.4 0.465371 0.465371 0.465371 0.465371
192942 85802.5 85802.5 85802.5 85802.5 0.507324 0.507324 0.507324 0.507324
183558 86208.3 86208.3 86208.3 86208.3 0.484434 0.484434 0.484434 0.484434
188863 85857.9 85857.9 85857.9 85857.9 0.500321 0.500321 0.500321 0.500321
185682 86027 86027 86027 86027 0.491537 0.491537 0.491537 0.491537
178854 83983.3 83983.3 83983.3 83983.3 0.489794 0.489794 0.489794 0.489794
179410 83846.7 83846.7 83846.7 83846.7 0.466872 0.466872 0.466872 0.466872
176122 81651.6 81651.6 81651.6 81651.6 0.46476 0.46476 0.46476 0.46476
179437 83566.4 83566.4 83566.4 83566.4 0.441096 0.441096 0.441096 0.441096
178381 82950.2 82950.2 82950.2 82950.2 0.437384 0.437384 0.437384 0.437384
174088 81127.6 81127.6 81127.6 81127.6 0.439296 0.439296 0.439296 0.439296
175399 81930.8 81930.8 81930.8 81930.8 0.432995 0.432995 0.432995 0.432995
175099 81929.9 81929.9 81929.9 81929.9 0.431159 0.431159 0.431159 0.431159
175088 81773.1 81773.1 81773.1 81773.1 0.42988 0.42988 0.42988 0.42988
175076 81856.5 81856.5 81856.5 81856.5 0.430672 0.430672 0.430672 0.430672
174208 81184.2 81184.2 81184.2 81184.2 0.432499 0.432499 0.432499 0.432499
174853 81688.7 81688.7 81688.7 81688.7 0.431141 0.431141 0.431141 0.431141
175086 81800.3 81800.3 81800.3 81800.3 0.430559 0.430559 0.430559 0.430559
174983 81736.7 81736.7 81736.7 81736.7 0.430853 0.430853 0.430853 0.430853
175199 81872.5 81872.5 81872.5 81872.5 0.430275 0.430275 0.430275 0.430275
174823 81679.2 81679.2 81679.2 81679.2 0.431117 0.431117 0.431117 0.431117
175036 81793.3 81793.3 81793.3 81793.3 0.430463 0.430463 0.430463 0.430463
174893 81680.3 81680.3 81680.3 81680.3 0.430655 0.430655 0.430655 0.430655
174733 81555.4 81555.4 81555.4 81555.4 0.4309 0.4309 0.4309 0.4309
174277 81360.1 81360.1 81360.1 81360.1 0.43189 0.43189 0.43189 0.43189
174131 81278.2 81278.2 81278.2 81278.2 0.432339 0.432339 0.432339 0.432339
174401 81134.3 81134.3 81134.3 81134.3 0.433019 0.433019 0.433019 0.433019
173867 81067.6 81067.6 81067.6 81067.6 0.433476 0.433476 0.433476 0.433476
167696 77659.9 77659.9 77659.9 77659.9 0.444072 0.444072 0.444072 0.444072
167147 77042.3 77042.3 77042.3 77042.3 0.438566 0.438566 0.438566 0.438566
178201 82046.2 82046.2 82046.2 82046.2 0.409683 0.409683 0.409683 0.409683
167700 77269.2 77269.2 77269.2 77269.2 0.437035 0.437035 0.437035 0.437035
169843 78012.3 78012.3 78012.3 78012.3 0.433606 0.433606 0.433606 0.433606
167959 77346.8 77346.8 77346.8 77346.8 0.436766 0.436766 0.436766 0.436766
168435 77576.6 77576.6 77576.6 77576.6 0.435778 0.435778 0.435778 0.435778
168271 77527 77527 77527 77527 0.436106 0.436106 0.436106 0.436106
167929 77337.7 77337.7 77337.7 77337.7 0.436963 0.436963 0.436963 0.436963
167990 77385 77385 77385 77385 0.436602 0.436602 0.436602 0.436602
167808 77296.4 77296.4 77296.4 77296.4 0.436823 0.436823 0.436823 0.436823
166803 76792.5 76792.5 76792.5 76792.5 0.436866 0.436866 0.436866 0.436866
163451 75215.8 75215.8 75215.8 75215.8 0.441545 0.441545 0.441545 0.441545
173294 80178.4 80178.4 80178.4 80178.4 0.407136 0.407136 0.407136 0.407136
163517 75363.7 75363.7 75363.7 75363.7 0.439372 0.439372 0.439372 0.439372
166172 76342 76342 76342 76342 0.431068 0.431068 0.431068 0.431068
163450 75312.5 75312.5 75312.5 75312.5 0.439324 0.439324 0.439324 0.439324
162841 74927.9 74927.9 74927.9 74927.9 0.441059 0.441059 0.441059 0.441059
163199 75170.3 75170.3 75170.3 75170.3 0.440037 0.440037 0.440037 0.440037
163212 75167.4 75167.4 75167.4 75167.4 0.439906 0.439906 0.439906 0.439906
163155 75146.5 75146.5 75146.5 75146.5 0.439894 0.439894 0.439894 0.439894
162732 75001.8 75001.8 75001.8 75001.8 0.439391 0.439391 0.439391 0.439391
162279 74871.8 74871.8 74871.8 74871.8 0.438033 0.438033 0.438033 0.438033
160341 74029.4 74029.4 74029.4 74029.4 0.438594 0.438594 0.438594 0.438594
166349 77106.3 77106.3 77106.3 77106.3 0.4148 0.4148 0.4148 0.4148
161108 74429.4 74429.4 74429.4 74429.4 0.433378 0.433378 0.433378 0.433378
172215 81206.9 81206.9 81206.9 81206.9 0.40017 0.40017 0.40017 0.40017
160886 74392.5 74392.5 74392.5 74392.5 0.43352 0.43352 0.43352 0.43352
160839 74376.6 74376.6 74376.6 74376.6 0.433417 0.433417 0.433417 0.433417
160706 74325.8 74325.8 74325.8 74325.8 0.433368 0.433368 0.433368 0.433368
159493 73873 73873 73873 73873 0.43256 0.43256 0.43256 0.43256
