Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.00627769 0.00627769 0.00627769 0.00627769 0.222225 0.222225 0.222225 0.222225
0 0.00627769 0.00627769 0.00627769 0.00627769 0.222225 0.222225 0.222225 0.222225
0 0.00627769 0.00627769 0.00627769 0.00627769 0.222225 0.222225 0.222225 0.222225
0 0.00627769 0.00627769 0.00627769 0.00627769 0.222225 0.222225 0.222225 0.222225
80.7451 0.00627769 0.00627769 0.00627769 0.00627769 0.222225 0.222225 0.222225 0.222225
80.7451 0.00627769 0.00627769 0.00627769 0.00627769 0.222225 0.222225 0.222225 0.222225
80.7451 0.00627771 0.00627771 0.00627771 0.00627771 0.222225 0.222225 0.222225 0.222225
80.7452 0.00627789 0.00627789 0.00627789 0.00627789 0.222227 0.222227 0.222227 0.222227
80.746 0.00627969 0.00627969 0.00627969 0.00627969 0.222247 0.222247 0.222247 0.222247
80.7538 0.00629778 0.00629778 0.00629778 0.00629778 0.222448 0.222448 0.222448 0.222448
80.8433 0.00648245 0.00648245 0.00648245 0.00648245 0.224425 0.224425 0.224425 0.224425
82.8343 0.00877734 0.00877734 0.00877734 0.00877734 0.240847 0.240847 0.240847 0.240847
273.204 0.517499 0.517499 0.517499 0.517499 0.132363 0.132363 0.132363 0.132363
96536 72132.7 72132.7 72132.7 72132.7 0.00076498 0.00076498 0.00076498 0.00076498
4937.77 71.9898 71.9898 71.9898 71.9898 0.00840967 0.00840967 0.00840967 0.00840967
9329.23 284.789 284.789 284.789 284.789 0.00385502 0.00385502 0.00385502 0.00385502
7388.11 528.086 528.086 528.086 528.086 0.00425358 0.00425358 0.00425358 0.00425358
2933.55 852.117 852.117 852.117 852.117 0.00961831 0.00961831 0.00961831 0.00961831
587.123 363.597 363.597 363.597 363.597 0.203459 0.203459 0.203459 0.203459
106.777 133.274 133.274 133.274 133.274 0.186214 0.186214 0.186214 0.186214
455.623 502.419 502.419 502.419 502.419 0.0616127 0.0616127 0.0616127 0.0616127
336.094 249.983 249.983 249.983 249.983 0.0331475 0.0331475 0.0331475 0.0331475
572.742 175.833 175.833 175.833 175.833 0.0165684 0.0165684 0.0165684 0.0165684
1998.34 308.287 308.287 308.287 308.287 0.0152201 0.0152201 0.0152201 0.0152201
6164.11 184.493 184.493 184.493 184.493 0.15414 0.15414 0.15414 0.15414
3290.74 260.892 260.892 260.892 260.892 0.0297647 0.0297647 0.0297647 0.0297647
5595.03 180.878 180.878 180.878 180.878 0.0148271 0.0148271 0.0148271 0.0148271
4903.28 204.175 204.175 204.175 204.175 0.0206897 0.0206897 0.0206897 0.0206897
3916.7 451.022 451.022 451.022 451.022 0.0505308 0.0505308 0.0505308 0.0505308
4204.42 292.189 292.189 292.189 292.189 0.0323877 0.0323877 0.0323877 0.0323877
3303.43 255.458 255.458 255.458 255.458 0.0655729 0.0655729 0.0655729 0.0655729
3593.62 221.863 221.863 221.863 221.863 0.0769154 0.0769154 0.0769154 0.0769154
5840.73 238.289 238.289 238.289 238.289 0.0664225 0.0664225 0.0664225 0.0664225
8723.53 223.466 223.466 223.466 223.466 0.0999565 0.0999565 0.0999565 0.0999565
8215.81 225.481 225.481 225.481 225.481 0.105271 0.105271 0.105271 0.105271
8155.92 207.144 207.144 207.144 207.144 0.115367 0.115367 0.115367 0.115367
7265.57 186.105 186.105 186.105 186.105 0.121468 0.121468 0.121468 0.121468
7654.77 194.225 194.225 194.225 194.225 0.120023 0.120023 0.120023 0.120023
7721.5 158.38 158.38 158.38 158.38 0.130244 0.130244 0.130244 0.130244
7686.32 177.884 177.884 177.884 177.884 0.124183 0.124183 0.124183 0.124183
7701.59 162.515 162.515 162.515 162.515 0.126835 0.126835 0.126835 0.126835
7301.73 142.803 142.803 142.803 142.803 0.128059 0.128059 0.128059 0.128059
6926.26 150.862 150.862 150.862 150.862 0.126334 0.126334 0.126334 0.126334
6582.74 167.716 167.716 167.716 167.716 0.125244 0.125244 0.125244 0.125244
7226.56 203.531 203.531 203.531 203.531 0.127812 0.127812 0.127812 0.127812
6717.37 174.723 174.723 174.723 174.723 0.126041 0.126041 0.126041 0.126041
6915.99 187.754 187.754 187.754 187.754 0.128327 0.128327 0.128327 0.128327
6392.32 179.298 179.298 179.298 179.298 0.126348 0.126348 0.126348 0.126348
6029.97 186.624 186.624 186.624 186.624 0.122944 0.122944 0.122944 0.122944
6205.59 182.798 182.798 182.798 182.798 0.124751 0.124751 0.124751 0.124751
6432.47 192.923 192.923 192.923 192.923 0.127497 0.127497 0.127497 0.127497
6951.35 210.606 210.606 210.606 210.606 0.130084 0.130084 0.130084 0.130084
5960.04 188.329 188.329 188.329 188.329 0.12546 0.12546 0.12546 0.12546
