"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1985 1952 20691 109.26 0.145206269376421 0.38403079883003 0.721969319262822 0.0969948286694698
"V2" 1986 1939 19387 169.82 0.104538484776583 0.276475650739024 0.717161121952158 0.126187135709496
"V3" 1987 2102.8 17759 164.48 0.104027499138388 0.275124233726044 0.777744408066528 0.160781012444394
"V4" 1988 2488.6 16019 164.47 0.10283803542351 0.271978428089925 0.92043690979378 0.180602409638554
"V5" 1989 3009.4 14767 181.54 0.0584841208530383 0.154674476153929 1.11306069128562 0.131473555901673
"V6" 1990 3518.6 14741 176.56 0.0573547278654466 0.151687541133283 1.30139408133103 0.0644902652465911
"V7" 1991 3452.5 19584 610.49 0.377977730167082 0.999647537805253 1.27694624731296 0.124576184640523
"V8" 1992 3821.7 20466 156.46 0.162236521381202 0.429071149427555 1.41349905093582 0.0398835141209811
"V9" 1993 5045.3 21983 117.25 0.21877751036132 0.57860657415764 1.86606137626881 0.0409939498703544
"V10" 1994 5660 21762 46.124 0.211760364452676 0.560048145789665 2.09341513679691 0.0479542321477805
"V11" 1995 5000.9 20196 30.933 0.295407358176229 0.781271526552331 1.84963953314623 0.0753584868290751
"V12" 1996 4588.8 17542 41.625 0.00514052533235132 0.0135952811009236 1.69721967839817 0.00429693307490594
"V13" 1997 3251.1 16579 91.392 0.442595065641738 1.17054268625281 1.20245617513082 0.225952108088546
"V14" 1998 1767.5 12509 136.97 0.717760019846275 1.8982786003218 0.653729903584548 0.361035254616676
"V15" 1999 1252.8 10330 316.69 0.61492190683159 1.62629996702447 0.463362276215401 0.228933204259439
"V16" 2000 1506.4 11986 330.71 0.398802090074185 1.05472226429325 0.557159109906514 0.0689826464208243
"V17" 2001 2619.2 16177 362.94 0.00201024233399864 0.00531654020644372 0.968740799699377 0.000667602151202324
"V18" 2002 4160.2 19964 193.68 0.0176909866131486 0.0467878126083309 1.53869711167889 0.00805730314566219
"V19" 2003 5687.3 24560 397.56 0.00952343191374827 0.0251868681782552 2.10351235114931 0.00510118078175896
"V20" 2004 6812.3 28276 297.35 0.00524804317725977 0.0138796363429251 2.51960634918756 0.00377192672230867
"V21" 2005 7916.2 30694 214.87 0.00572049465032405 0.0151291410467404 2.92789627312928 0.00481413305532026
"V22" 2006 8600 32292 229.88 0.0594511685514902 0.157232052364227 3.18080745167022 0.0396630744456831
"V23" 2007 8718.1 31825 198.72 0.0583264267096279 0.154257418349712 3.22448807493095 0.0471399842890809
"V24" 2008 8379 31648 302.2 0.098578706412637 0.260713669828799 3.09906809738893 0.102827034883721
"V25" 2009 7973.8 28293 108.3 0.0871695679829463 0.230539624562486 2.94920028582884 0.104509596013148
"V26" 2010 4481.8 25946 216.46 1.18647888417355 3.13791157668924 1.65764451591809 0.260382332536807
"V27" 2011 3838.2 19643 141.23 0.140338207751477 0.371156109585485 1.41960176290705 0.123850735631014
"V28" 2012 4069.2 18792 212.16 0.1203802254554 0.318372714508174 1.50503973050424 0.0791682630906769
"V29" 2013 4330.2 19063 203.51 0.078151971133118 0.20669055153941 1.60157353804911 0.0530283795834863
"V30" 2014 4589 20756 304.94 0.103281191077658 0.273150453379189 1.69729365066449 0.0482535170553093
"V31" 2015 4840.7 21830 195.93 0.135064883160349 0.35720961082949 1.79038774782558 0.073909757214842
"V32" 2016 5375 21723 157.87 0.0778633431310057 0.205927209552237 1.98800465729389 0.0671739630806058
"V33" 2017 5749 21169 124.59 0.088054441709743 0.232879873131813 2.12633279530838 0.0718153904294015
"V34" 2018 5723.7 22711 411.37 0.0963758140925701 0.254887623191523 2.11697530361917 0.0678741578970543
"V35" 2019 5230 27749 710.65 0.22697849537934 0.600295932621216 1.9343747642134 0.112831453385708
"V36" 2020 5286.3 27729 116.09 0.345348923700152 0.91335328435341 1.95519795718189 0.147936095784197
