"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1985 1653.6 19586 103.75 0.16907717694275 0.439244783927213 0.680862557664974 0.101372408863474
"V2" 1986 1650.8 18272 168.46 0.117560756786874 0.305410524039295 0.679709669928241 0.133555166374781
"V3" 1987 1832.1 16589 154.5 0.116577382384588 0.30285582041423 0.754359150881712 0.172104406534451
"V4" 1988 2242.3 14867 161.9 0.114795843752337 0.29822756977904 0.923257204313118 0.19396044931728
"V5" 1989 2780.3 13541 162.51 0.0568351674272598 0.147651807816183 1.14477634801399 0.14429584225685
"V6" 1990 3299.3 13304 149.85 0.0571143431696383 0.148377077133166 1.35847232492988 0.0715614101022249
"V7" 1991 3058.3 18291 631.59 0.509609771533127 1.32391277185837 1.25924163044678 0.132511617735498
"V8" 1992 3332.8 19284 155.73 0.198334555487848 0.515252386784632 1.37226580320865 0.0424333644472101
"V9" 1993 4585.3 20838 106.18 0.274693320992683 0.713624456046687 1.8879771925866 0.0436098473941837
"V10" 1994 5255.4 20685 42.421 0.253016645481967 0.657310725103636 2.16388793272406 0.0508614938361131
"V11" 1995 4601.2 19212 30.359 0.335142320520597 0.870664620877718 1.89452394794877 0.0800400791172184
"V12" 1996 4211.3 16633 39.046 0.00596646890360524 0.0155002608380426 1.73398433060868 0.00453369807010161
"V13" 1997 2930.7 15717 83.378 0.481986101697381 1.25214937299119 1.20670288930137 0.232943946045683
"V14" 1998 1530.5 11704 124.51 0.791979318906849 2.05747925946179 0.630176671810742 0.368344155844156
"V15" 1999 1065.7 9415.4 279.48 0.694953737764831 1.80541696935999 0.43879730751304 0.237155086347898
"V16" 2000 1301.8 10722 291.99 0.456174439434047 1.18509337987215 0.53601044845686 0.0735612758813654
"V17" 2001 2296.5 14421 327.4 0.00243672586349418 0.00633035838871833 0.945573816931309 0.000749656750572082
"V18" 2002 3667 17828 175.78 0.0202196575850813 0.0525285510891191 1.50987118950016 0.00905541844289881
"V19" 2003 5037.2 22079 372.33 0.0111535215149821 0.0289756798431446 2.07404503838293 0.00568526654286879
"V20" 2004 6068.4 25637 285.52 0.00608334846638445 0.0158039016914491 2.49863712199693 0.00416792136365409
"V21" 2005 7121.8 28058 208.8 0.00638630132853643 0.016590941473413 2.93236995838075 0.00528066861501176
"V22" 2006 7800.2 29773 224.96 0.0680576594506783 0.176806665811123 3.21169818716638 0.0437288818728378
"V23" 2007 7964.7 29651 213.93 0.0656183432110111 0.170469577896617 3.27943034169946 0.0509031735860511
"V24" 2008 7719 29423 258.52 0.107227771649725 0.278566511701505 3.17826444280112 0.108219080311321
"V25" 2009 7439.7 26216 97.891 0.0921166104175735 0.239309298691891 3.06326389106199 0.107672413793103
"V26" 2010 3761.1 23965 196.06 1.4376933658257 3.73497667304633 1.5486164523668 0.274483204673482
"V27" 2011 3157.1 17801 127.63 0.169297120204921 0.43981617346905 1.29992209772865 0.132300994326161
"V28" 2012 3387.2 16810 182.7 0.147563011177514 0.38335323626951 1.3946647649509 0.0880273646638905
"V29" 2013 3648.5 16749 165.5 0.0926617048664341 0.240725396936131 1.50225389552531 0.059348379007702
"V30" 2014 3876.1 17505 202.96 0.119911656878759 0.311517916069175 1.59596719869691 0.0557958297629249
"V31" 2015 4018.1 17925 154.36 0.15550148462201 0.403976558209764 1.65443507677409 0.08660529986053
"V32" 2016 4286.3 17342 121.91 0.0915197942038428 0.237758832723719 1.76486525212831 0.0808983969553685
"V33" 2017 4436.6 16550 100.53 0.109459572369772 0.284364496046709 1.82675061885367 0.0886749244712991
"V34" 2018 4310 17526 331.34 0.128606233030218 0.334105513591454 1.77462362332852 0.0872332534520141
"V35" 2019 4075.1 21538 592.89 0.166826654944317 0.433398163663024 1.67790457712901 0.0824593741294456
"V36" 2020 4515.1 22536 103 0.186076016109256 0.483405986353921 1.85907265004422 0.0860219204827831
