Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.00627766 0.00627766 0.00627766 0.00627766 0.592768 0.592768 0.592768 0.592768
0 0.00627766 0.00627766 0.00627766 0.00627766 0.592768 0.592768 0.592768 0.592768
0 0.00627766 0.00627766 0.00627766 0.00627766 0.592768 0.592768 0.592768 0.592768
0 0.00627766 0.00627766 0.00627766 0.00627766 0.592768 0.592768 0.592768 0.592768
80.7448 0.00627766 0.00627766 0.00627766 0.00627766 0.592768 0.592768 0.592768 0.592768
80.7448 0.00627767 0.00627767 0.00627767 0.00627767 0.592768 0.592768 0.592768 0.592768
80.7448 0.00627769 0.00627769 0.00627769 0.00627769 0.592767 0.592767 0.592767 0.592767
80.745 0.0062779 0.0062779 0.0062779 0.0062779 0.592762 0.592762 0.592762 0.592762
80.7466 0.00628007 0.00628007 0.00628007 0.00628007 0.592706 0.592706 0.592706 0.592706
80.7627 0.00630177 0.00630177 0.00630177 0.00630177 0.592148 0.592148 0.592148 0.592148
80.9389 0.00652428 0.00652428 0.00652428 0.00652428 0.586615 0.586615 0.586615 0.586615
84.1967 0.00942596 0.00942596 0.00942596 0.00942596 0.536224 0.536224 0.536224 0.536224
412.674 1.53841 1.53841 1.53841 1.53841 0.389325 0.389325 0.389325 0.389325
636640 59695.8 59695.8 59695.8 59695.8 1.39528 1.39528 1.39528 1.39528
15516.4 173.169 173.169 173.169 173.169 0.377854 0.377854 0.377854 0.377854
16458 487.555 487.555 487.555 487.555 0.373898 0.373898 0.373898 0.373898
7561.93 437.261 437.261 437.261 437.261 0.365141 0.365141 0.365141 0.365141
1375.95 348.848 348.848 348.848 348.848 0.670112 0.670112 0.670112 0.670112
1078.78 313.278 313.278 313.278 313.278 0.952429 0.952429 0.952429 0.952429
1140.63 389.64 389.64 389.64 389.64 1.09489 1.09489 1.09489 1.09489
1794.32 603.684 603.684 603.684 603.684 0.757941 0.757941 0.757941 0.757941
