Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.00627769 0.00627769 0.00627769 0.00627769 0.377385 0.377385 0.377385 0.377385
0 0.00627769 0.00627769 0.00627769 0.00627769 0.377385 0.377385 0.377385 0.377385
0 0.00627769 0.00627769 0.00627769 0.00627769 0.377385 0.377385 0.377385 0.377385
0 0.00627769 0.00627769 0.00627769 0.00627769 0.377385 0.377385 0.377385 0.377385
80.7451 0.00627769 0.00627769 0.00627769 0.00627769 0.377385 0.377385 0.377385 0.377385
80.7451 0.00627769 0.00627769 0.00627769 0.00627769 0.377385 0.377385 0.377385 0.377385
80.7451 0.00627771 0.00627771 0.00627771 0.00627771 0.377385 0.377385 0.377385 0.377385
80.7452 0.00627789 0.00627789 0.00627789 0.00627789 0.377389 0.377389 0.377389 0.377389
80.746 0.00627969 0.00627969 0.00627969 0.00627969 0.377428 0.377428 0.377428 0.377428
80.7538 0.00629778 0.00629778 0.00629778 0.00629778 0.377812 0.377812 0.377812 0.377812
80.8433 0.00648245 0.00648245 0.00648245 0.00648245 0.381603 0.381603 0.381603 0.381603
82.8343 0.00877734 0.00877734 0.00877734 0.00877734 0.413687 0.413687 0.413687 0.413687
273.204 0.517499 0.517499 0.517499 0.517499 0.23796 0.23796 0.23796 0.23796
96536 72132.7 72132.7 72132.7 72132.7 0.00138417 0.00138417 0.00138417 0.00138417
4937.77 71.9898 71.9898 71.9898 71.9898 0.0150939 0.0150939 0.0150939 0.0150939
9329.23 284.789 284.789 284.789 284.789 0.00707044 0.00707044 0.00707044 0.00707044
7388.11 528.086 528.086 528.086 528.086 0.0077661 0.0077661 0.0077661 0.0077661
2933.55 852.117 852.117 852.117 852.117 0.017336 0.017336 0.017336 0.017336
587.123 363.597 363.597 363.597 363.597 0.350678 0.350678 0.350678 0.350678
106.777 133.274 133.274 133.274 133.274 0.243528 0.243528 0.243528 0.243528
455.623 502.419 502.419 502.419 502.419 0.0850087 0.0850087 0.0850087 0.0850087
336.094 249.983 249.983 249.983 249.983 0.0465993 0.0465993 0.0465993 0.0465993
572.742 175.833 175.833 175.833 175.833 0.0228767 0.0228767 0.0228767 0.0228767
1998.34 308.287 308.287 308.287 308.287 0.0182546 0.0182546 0.0182546 0.0182546
6164.11 184.493 184.493 184.493 184.493 0.154313 0.154313 0.154313 0.154313
3290.74 260.892 260.892 260.892 260.892 0.0314118 0.0314118 0.0314118 0.0314118
5595.03 180.878 180.878 180.878 180.878 0.0157899 0.0157899 0.0157899 0.0157899
4903.28 204.175 204.175 204.175 204.175 0.0217371 0.0217371 0.0217371 0.0217371
3916.7 451.022 451.022 451.022 451.022 0.0521936 0.0521936 0.0521936 0.0521936
4204.42 292.189 292.189 292.189 292.189 0.0336498 0.0336498 0.0336498 0.0336498
3303.43 255.458 255.458 255.458 255.458 0.0681034 0.0681034 0.0681034 0.0681034
