"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1985 1630.6 19586 103.75 0.16907717694275 0.40264619492695 0.703960240449954 0.101372408863474
"V2" 1986 1722.7 18272 168.46 0.117560756786874 0.279963223001973 0.743721517369763 0.133555166374781
"V3" 1987 1962.2 16589 154.5 0.116577382384588 0.277621381433357 0.8471181061026 0.172104406534451
"V4" 1988 2311.4 14867 161.9 0.114795843752337 0.273378764160215 0.997874217941877 0.19396044931728
"V5" 1989 2756.6 13541 162.51 0.0568351674272598 0.13534921931167 1.19007530898095 0.14429584225685
"V6" 1990 3199.5 13304 149.85 0.0571143431696383 0.136014058010879 1.38128344739337 0.0715614101022249
"V7" 1991 3296.1 18291 631.59 0.509609771533127 1.21360220885924 1.42298745771317 0.132511617735498
"V8" 1992 3835.3 19284 155.73 0.198334555487848 0.472320720831235 1.65577009088539 0.0424333644472101
"V9" 1993 4445 20838 106.18 0.274693320992683 0.654164107004234 1.91898888065746 0.0436098473941837
"V10" 1994 4622.3 20685 42.421 0.253016645481967 0.602542527611463 1.99553257661709 0.0508614938361131
"V11" 1995 4026.8 19212 30.359 0.335142320520597 0.798119430171814 1.73844419001832 0.0800400791172184
"V12" 1996 3751.7 16633 39.046 0.00596646890360524 0.0142087539230683 1.61967842149889 0.00453369807010161
"V13" 1997 2730 15717 83.378 0.481986101697381 1.14781825297353 1.17859159599434 0.232943946045683
"V14" 1998 1580.4 11704 124.51 0.791979318906849 1.88604674495279 0.682287970076725 0.368344155844156
"V15" 1999 1315.7 9415.4 279.48 0.694953737764831 1.65498669436632 0.56801207430394 0.237155086347898
"V16" 2000 1713.9 10722 291.99 0.456174439434047 1.08634947414131 0.739922394276448 0.0735612758813654
"V17" 2001 2643.3 14421 327.4 0.00243672586349418 0.00580290264337826 1.14116159915452 0.000749656750572082
"V18" 2002 3725.8 17828 175.78 0.0202196575850813 0.0481517868737276 1.60849691148561 0.00905541844289881
"V19" 2003 4840.4 22079 372.33 0.0111535215149821 0.026561379124304 2.08969038873664 0.00568526654286879
"V20" 2004 5894.1 25637 285.52 0.00608334846638445 0.0144870949272697 2.54459220730779 0.00416792136365409
"V21" 2005 6807.4 28058 208.8 0.00638630132853643 0.015208557275964 2.93888074379923 0.00528066861501176
"V22" 2006 7299.9 29773 224.96 0.0680576594506783 0.162074847173067 3.15150212146487 0.0437288818728378
"V23" 2007 7467.7 29651 213.93 0.0656183432110111 0.156265775718922 3.22394449135786 0.0509031735860511
"V24" 2008 7333.4 29423 258.52 0.107227771649725 0.25535589738334 3.16596469233147 0.108219080311321
"V25" 2009 7065.1 26216 97.891 0.0921166104175735 0.219369659139525 3.05013460983869 0.107672413793103
"V26" 2010 3638.3 23965 196.06 1.4376933658257 3.42377234875083 1.57072153981913 0.274483204673482
"V27" 2011 3075.7 17801 127.63 0.169297120204921 0.403169975363873 1.32783669296696 0.132300994326161
"V28" 2012 3280.5 16810 182.7 0.147563011177514 0.351411621822306 1.4162526485932 0.0880273646638905
"V29" 2013 3543 16749 165.5 0.0926617048664341 0.220667765777441 1.52957876359266 0.059348379007702
"V30" 2014 3782.6 17505 202.96 0.119911656878759 0.285561737205766 1.63301852417883 0.0557958297629249
"V31" 2015 3917.4 17925 154.36 0.15550148462201 0.370316575073551 1.69121418247188 0.08660529986053
"V32" 2016 4084.8 17342 121.91 0.0915197942038428 0.21794838051473 1.76348386495154 0.0808983969553685
"V33" 2017 4141.1 16550 100.53 0.109459572369772 0.260670784253412 1.78778961837809 0.0886749244712991
"V34" 2018 4160.4 17526 331.34 0.128606233030218 0.306267299406351 1.79612178607138 0.0872332534520141
"V35" 2019 4437.8 21538 592.89 0.166826654944317 0.397286724561678 1.91588050721747 0.0824593741294456
"V36" 2020 4923.1 22536 103 0.186076016109256 0.443127814222535 2.12539351144313 0.0860219204827831
