Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.0047053 0.0047053 0.0047053 0.0047053 0.239465 0.239465 0.239465 0.239465
0 0.0047053 0.0047053 0.0047053 0.0047053 0.239465 0.239465 0.239465 0.239465
0 0.0047053 0.0047053 0.0047053 0.0047053 0.239465 0.239465 0.239465 0.239465
0 0.0047053 0.0047053 0.0047053 0.0047053 0.239465 0.239465 0.239465 0.239465
0 0.0047053 0.0047053 0.0047053 0.0047053 0.239465 0.239465 0.239465 0.239465
0 0.0047053 0.0047053 0.0047053 0.0047053 0.239465 0.239465 0.239465 0.239465
54.0063 0.0047053 0.0047053 0.0047053 0.0047053 0.239465 0.239465 0.239465 0.239465
54.0063 0.0047053 0.0047053 0.0047053 0.0047053 0.239465 0.239465 0.239465 0.239465
54.0063 0.00470531 0.00470531 0.00470531 0.00470531 0.239465 0.239465 0.239465 0.239465
54.0065 0.00470543 0.00470543 0.00470543 0.00470543 0.239469 0.239469 0.239469 0.239469
54.0085 0.00470667 0.00470667 0.00470667 0.00470667 0.239506 0.239506 0.239506 0.239506
54.0287 0.00471901 0.00471901 0.00471901 0.00471901 0.239871 0.239871 0.239871 0.239871
54.2381 0.00484492 0.00484492 0.00484492 0.00484492 0.243512 0.243512 0.243512 0.243512
57.1629 0.00638999 0.00638999 0.00638999 0.00638999 0.278114 0.278114 0.278114 0.278114
240.495 0.263159 0.263159 0.263159 0.263159 0.230152 0.230152 0.230152 0.230152
283605 3345.79 3345.79 3345.79 3345.79 0.000198055 0.000198055 0.000198055 0.000198055
10257.7 147.384 147.384 147.384 147.384 0.0067121 0.0067121 0.0067121 0.0067121
11538.1 3193.16 3193.16 3193.16 3193.16 0.129516 0.129516 0.129516 0.129516
10268 2802.25 2802.25 2802.25 2802.25 0.18203 0.18203 0.18203 0.18203
2290.64 660.955 660.955 660.955 660.955 0.505663 0.505663 0.505663 0.505663
65.274 44.2111 44.2111 44.2111 44.2111 0.63755 0.63755 0.63755 0.63755
25.3971 36.7981 36.7981 36.7981 36.7981 0.15135 0.15135 0.15135 0.15135
68.9538 154.195 154.195 154.195 154.195 0.0776285 0.0776285 0.0776285 0.0776285
211.271 328.822 328.822 328.822 328.822 0.0122979 0.0122979 0.0122979 0.0122979
2783.17 2165.71 2165.71 2165.71 2165.71 0.00139048 0.00139048 0.00139048 0.00139048
3974.98 2012.87 2012.87 2012.87 2012.87 0.000367953 0.000367953 0.000367953 0.000367953
3952.51 1656.17 1656.17 1656.17 1656.17 0.000639035 0.000639035 0.000639035 0.000639035
10114.1 1794.24 1794.24 1794.24 1794.24 0.000407526 0.000407526 0.000407526 0.000407526
12562.9 3457.31 3457.31 3457.31 3457.31 0.000261795 0.000261795 0.000261795 0.000261795
10958.9 2352.21 2352.21 2352.21 2352.21 0.000329159 0.000329159 0.000329159 0.000329159
12186.7 1938.93 1938.93 1938.93 1938.93 0.00034259 0.00034259 0.00034259 0.00034259
9764.84 1342.38 1342.38 1342.38 1342.38 0.00035478 0.00035478 0.00035478 0.00035478
10958.1 1617.27 1617.27 1617.27 1617.27 0.000348298 0.000348298 0.000348298 0.000348298
11022.6 1367.7 1367.7 1367.7 1367.7 0.000356821 0.000356821 0.000356821 0.000356821
7851.6 794.013 794.013 794.013 794.013 0.000413295 0.000413295 0.000413295 0.000413295
6800.21 509.357 509.357 509.357 509.357 0.000477642 0.000477642 0.000477642 0.000477642
9029.5 811.816 811.816 811.816 811.816 0.00043489 0.00043489 0.00043489 0.00043489
13359.7 1376.32 1376.32 1376.32 1376.32 0.000360514 0.000360514 0.000360514 0.000360514
