Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
0 0.00470528 0.00470528 0.00470528 0.00470528 0.591715 0.591715 0.591715 0.591715
0 0.00470528 0.00470528 0.00470528 0.00470528 0.591715 0.591715 0.591715 0.591715
0 0.00470528 0.00470528 0.00470528 0.00470528 0.591715 0.591715 0.591715 0.591715
0 0.00470528 0.00470528 0.00470528 0.00470528 0.591715 0.591715 0.591715 0.591715
0 0.00470528 0.00470528 0.00470528 0.00470528 0.591715 0.591715 0.591715 0.591715
0 0.00470528 0.00470528 0.00470528 0.00470528 0.591715 0.591715 0.591715 0.591715
54.006 0.00470528 0.00470528 0.00470528 0.00470528 0.591715 0.591715 0.591715 0.591715
54.006 0.00470528 0.00470528 0.00470528 0.00470528 0.591715 0.591715 0.591715 0.591715
54.006 0.00470529 0.00470529 0.00470529 0.00470529 0.591715 0.591715 0.591715 0.591715
54.0063 0.00470544 0.00470544 0.00470544 0.00470544 0.591711 0.591711 0.591711 0.591711
54.0088 0.0047069 0.0047069 0.0047069 0.0047069 0.591667 0.591667 0.591667 0.591667
54.0344 0.00472154 0.00472154 0.00472154 0.00472154 0.591229 0.591229 0.591229 0.591229
54.3008 0.00487138 0.00487138 0.00487138 0.00487138 0.586861 0.586861 0.586861 0.586861
58.0513 0.00677898 0.00677898 0.00677898 0.00677898 0.544769 0.544769 0.544769 0.544769
351.229 0.612052 0.612052 0.612052 0.612052 0.386474 0.386474 0.386474 0.386474
1.18215e+06 2225.24 2225.24 2225.24 2225.24 0.37881 0.37881 0.37881 0.37881
58676.3 2041.05 2041.05 2041.05 2041.05 0.378867 0.378867 0.378867 0.378867
40776.9 3020.35 3020.35 3020.35 3020.35 0.368924 0.368924 0.368924 0.368924
23847 4759.19 4759.19 4759.19 4759.19 0.34506 0.34506 0.34506 0.34506
1698.78 1164.36 1164.36 1164.36 1164.36 0.332044 0.332044 0.332044 0.332044
17.3811 18.0587 18.0587 18.0587 18.0587 1.74769 1.74769 1.74769 1.74769
80.9626 78.5637 78.5637 78.5637 78.5637 1.58384 1.58384 1.58384 1.58384
154.647 96.1194 96.1194 96.1194 96.1194 1.11285 1.11285 1.11285 1.11285
1962.65 439.064 439.064 439.064 439.064 0.657532 0.657532 0.657532 0.657532
13099.3 409.998 409.998 409.998 409.998 0.640391 0.640391 0.640391 0.640391
3624.81 360.29 360.29 360.29 360.29 0.64474 0.64474 0.64474 0.64474
9078.15 520.565 520.565 520.565 520.565 0.650299 0.650299 0.650299 0.650299
4784.66 401.157 401.157 401.157 401.157 0.645497 0.645497 0.645497 0.645497
6298.26 459.864 459.864 459.864 459.864 0.652871 0.652871 0.652871 0.652871
9065.02 402.842 402.842 402.842 402.842 0.666168 0.666168 0.666168 0.666168
19772.1 539.237 539.237 539.237 539.237 0.708196 0.708196 0.708196 0.708196
16907.9 1054.45 1054.45 1054.45 1054.45 0.723674 0.723674 0.723674 0.723674
10498.4 842.724 842.724 842.724 842.724 0.749583 0.749583 0.749583 0.749583
11734.6 1150.11 1150.11 1150.11 1150.11 0.726276 0.726276 0.726276 0.726276
10647.7 891.304 891.304 891.304 891.304 0.738747 0.738747 0.738747 0.738747
10444.2 713.625 713.625 713.625 713.625 0.740436 0.740436 0.740436 0.740436
