"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1985 2292.2 22558 94.057 0.0643769261287012 0.19952000758913 0.91947070064614 0.0927400478765848
"V2" 1986 2267.5 21043 173.63 0.0541606851488125 0.167857351410661 0.909562784100481 0.121584374851495
"V3" 1987 2399.6 19450 195.69 0.0539498698338048 0.167203982637412 0.962552086759654 0.155456041131105
"V4" 1988 2795.7 17536 163.29 0.0535628258015463 0.166004437506923 1.12143976869227 0.173047445255474
"V5" 1989 3385.6 15985 161.48 0.0258796068689494 0.0802072989408304 1.35806648813697 0.119139818579919
"V6" 1990 3938.1 15511 131.65 0.0260718262944936 0.0808030344558609 1.57969093718461 0.0605126684288569
"V7" 1991 3792 16322 185.94 0.290253674125055 0.899567884748464 1.52108581138215 0.143217742923661
"V8" 1992 3937.8 20727 740.44 0.0312792606529191 0.0969421607731975 1.57957059811726 0.0389737057943745
"V9" 1993 4720.4 23208 97.381 0.0682211939963181 0.211434343986432 1.89349511182708 0.0377861944157187
"V10" 1994 6255.8 23918 48.694 0.0975588005690669 0.302358838802162 2.50939045855603 0.042282799565181
"V11" 1995 6553.5 23037 39.768 0.186038804627306 0.576580243003624 2.62880692639581 0.0636276424881712
"V12" 1996 6310.4 20735 48.247 0.00265821615386945 0.00823846895288665 2.53129216881485 0.00361117434289848
"V13" 1997 4885.5 19568 71.375 0.297214850307375 0.921142290490503 1.95972171189544 0.201465147179068
"V14" 1998 3143.4 14902 126 0.434782227363256 1.34749759765962 1.26091274775808 0.323853174070595
"V15" 1999 2313.7 12077 324.04 0.29366958623121 0.910154640754513 0.928095000473334 0.215462449283763
"V16" 2000 2396.9 15998 635.71 0.149120585751199 0.462161556786575 0.961469035153448 0.0491947743467933
"V17" 2001 3639.3 21351 369.05 0.000859379449089854 0.0026634293451906 1.45983322609785 0.000501835979579411
"V18" 2002 5836.3 26237 246.51 0.00695217999669455 0.0215465243389912 2.34111632936963 0.00606498456378397
"V19" 2003 7763.1 30297 297.12 0.00382690077689142 0.0118605114901225 3.11401404597594 0.0040977324487573
"V20" 2004 8963 32526 185.29 0.002588180913588 0.0080214124310433 3.59533020237822 0.00324063825862387
"V21" 2005 9648.1 32927 114.06 0.00343204151837837 0.0106367450416023 3.87014451919729 0.00440726455492453
"V22" 2006 9576.7 31728 72.99 0.0388440642577413 0.120387357109956 3.84150382116652 0.0359051941502774
"V23" 2007 8885.6 28562 65.085 0.0426213490428732 0.132094096376897 3.56428272300033 0.0462113997619214
"V24" 2008 7751.5 25145 92.618 0.0712186896447116 0.220724323960316 3.1093609353715 0.103040365877908
"V25" 2009 6544.9 21210 148.04 0.0765891390612929 0.237368674239035 2.62535720646494 0.120752946723244
"V26" 2010 5054.3 19150 263.35 0.243265947485809 0.753941304863056 2.02743249379452 0.13601409921671
"V27" 2011 4433 18692 315.04 0.10168250665652 0.31513922331787 1.77821028529986 0.128931093515943
"V28" 2012 4621.7 18237 163.38 0.102263751919742 0.316940646068271 1.8539035586669 0.0847452980205078
"V29" 2013 5196.3 18965 196.87 0.0669974982393171 0.207641808346636 2.08439298567644 0.0541782230424466
"V30" 2014 5516.5 21110 313.92 0.0878433644436761 0.272248300663165 2.21283488356794 0.0519758408337281
"V31" 2015 5593.7 22946 263.42 0.130406341439631 0.404161487637509 2.24380213690093 0.0865985356924954
"V32" 2016 5989 22925 167.05 0.0802587089595304 0.24874157844514 2.40236891465393 0.0797343511450382
"V33" 2017 6370.5 22758 178.66 0.086172860006535 0.2670709944757 2.55540009530854 0.0826737850426224
"V34" 2018 6392.5 23024 263.04 0.0921626802392779 0.285634928017746 2.56422496024799 0.0801759034051425
"V35" 2019 6231.1 23003 208.17 0.107377995662307 0.332790951631001 2.49948254201037 0.084981524149024
"V36" 2020 6214.2 22255 149.07 0.0991322957720413 0.307235489392955 2.49270344121597 0.0853309368681195
