Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
122.279 0.00181338 0.00181338 0.00181338 0.00181338 0.786475 0.786475 0.786475 0.786475
122.279 0.00181339 0.00181339 0.00181339 0.00181339 0.786475 0.786475 0.786475 0.786475
122.28 0.00181339 0.00181339 0.00181339 0.00181339 0.786475 0.786475 0.786475 0.786475
122.282 0.00181343 0.00181343 0.00181343 0.00181343 0.786475 0.786475 0.786475 0.786475
122.311 0.00181385 0.00181385 0.00181385 0.00181385 0.786475 0.786475 0.786475 0.786475
122.592 0.00181803 0.00181803 0.00181803 0.00181803 0.786475 0.786475 0.786475 0.786475
125.447 0.00186036 0.00186036 0.00186036 0.00186036 0.786474 0.786474 0.786474 0.786474
157.913 0.00234186 0.00234186 0.00234186 0.00234186 0.78647 0.78647 0.78647 0.78647
1623.92 0.0246158 0.0246158 0.0246158 0.0246158 0.785116 0.785116 0.785116 0.785116
3495.89 0.0531017 0.0531017 0.0531017 0.0531017 0.777325 0.777325 0.777325 0.777325
10302.1 0.157424 0.157424 0.157424 0.157424 0.774887 0.774887 0.774887 0.774887
194871 3.0937 3.0937 3.0937 3.0937 0.773288 0.773288 0.773288 0.773288
20084.7 0.307268 0.307268 0.307268 0.307268 0.783295 0.783295 0.783295 0.783295
29195.3 0.448102 0.448102 0.448102 0.448102 0.774416 0.774416 0.774416 0.774416
37374.2 0.566113 0.566113 0.566113 0.566113 0.774139 0.774139 0.774139 0.774139
533940 8.12595 8.12595 8.12595 8.12595 0.764841 0.764841 0.764841 0.764841
65603.7 0.987307 0.987307 0.987307 0.987307 0.772976 0.772976 0.772976 0.772976
215618 3.25831 3.25831 3.25831 3.25831 0.769904 0.769904 0.769904 0.769904
78741.6 1.18129 1.18129 1.18129 1.18129 0.775814 0.775814 0.775814 0.775814
108063 1.61496 1.61496 1.61496 1.61496 0.779368 0.779368 0.779368 0.779368
165847 2.47015 2.47015 2.47015 2.47015 0.782859 0.782859 0.782859 0.782859
151515 2.25728 2.25728 2.25728 2.25728 0.782329 0.782329 0.782329 0.782329
249843 3.75028 3.75028 3.75028 3.75028 0.777052 0.777052 0.777052 0.777052
154651 2.30364 2.30364 2.30364 2.30364 0.782431 0.782431 0.782431 0.782431
158700 2.36387 2.36387 2.36387 2.36387 0.78242 0.78242 0.78242 0.78242
159203 2.37132 2.37132 2.37132 2.37132 0.782441 0.782441 0.782441 0.782441
160807 2.39497 2.39497 2.39497 2.39497 0.782592 0.782592 0.782592 0.782592
161755 2.40898 2.40898 2.40898 2.40898 0.782632 0.782632 0.782632 0.782632
165478 2.46403 2.46403 2.46403 2.46403 0.782771 0.782771 0.782771 0.782771
212175 3.20451 3.20451 3.20451 3.20451 0.783379 0.783379 0.783379 0.783379
165924 2.47062 2.47062 2.47062 2.47062 0.782787 0.782787 0.782787 0.782787
170449 2.53755 2.53755 2.53755 2.53755 0.782939 0.782939 0.782939 0.782939
226285 3.40054 3.40054 3.40054 3.40054 0.782895 0.782895 0.782895 0.782895
173190 2.57812 2.57812 2.57812 2.57812 0.783023 0.783023 0.783023 0.783023
207031 3.12289 3.12289 3.12289 3.12289 0.783431 0.783431 0.783431 0.783431
173983 2.58987 2.58987 2.58987 2.58987 0.783046 0.783046 0.783046 0.783046
