"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1985 907.53 8724.9 131.42 0.818730753077982 3.06131658619368 0.519328094635332 0.174848995403959
"V2" 1986 1083.2 8691 65.531 0.818730753077982 3.06131658619368 0.619854100810983 0.187086641353124
"V3" 1987 1359.8 8191.6 57.854 0.389364249286781 1.45587206774794 0.778136638001085 0.140672151960545
"V4" 1988 1226 9996.7 261.64 0.818730753077982 3.06131658619368 0.701570464913465 0.240761451278922
"V5" 1989 1122.6 9624.8 101 0.687605504585573 2.57102610111116 0.642400492587158 0.158883301471199
"V6" 1990 1327.5 10566 149.04 0.551761164137086 2.06309045683241 0.75965317469219 0.106653416619345
"V7" 1991 1482.4 11685 125.81 0.674596867404078 2.5223854990356 0.848293684492431 0.185703893881044
"V8" 1992 1793 11976 177.99 0.201977292755729 0.755213400770735 1.02603249884979 0.0655426686706747
"V9" 1993 2196.5 14044 188.67 0.187739484104949 0.701976803012775 1.25693272934945 0.0626112218741099
"V10" 1994 2611.5 15814 165.37 0.168250725236004 0.629106374553192 1.49441375947921 0.0569012267610978
"V11" 1995 2771.1 16541 82.566 0.335712547020678 1.25526295979973 1.5857438134761 0.114653285774742
"V12" 1996 2637.4 16109 132.79 0.415887702947617 1.55504592717584 1.50923486473309 0.171497920417158
"V13" 1997 2738.2 14480 113.88 0.141833704885642 0.530330479972039 1.56691700409955 0.117979281767956
"V14" 1998 2715.1 14098 125.51 0.262527353124527 0.981616163101534 1.55369818049474 0.156369697829479
"V15" 1999 1957.1 13100 111.34 0.818730753077982 3.06131658619368 1.11993764835411 0.296383969465649
"V16" 2000 1712.4 10499 116.05 0.399081349266551 1.49220528135442 0.979909677094468 0.207106391084865
"V17" 2001 1513.9 10033 126.3 0.657250535903562 2.45752582186761 0.86631935304445 0.227676666998904
"V18" 2002 1689.9 9995.1 167.95 0.163000827744688 0.609476480103079 0.967034199557312 0.0638768996808436
"V19" 2003 1733.9 11905 157.6 0.529135889579187 1.97849228092306 0.992212911185528 0.165818563628727
"V20" 2004 1979.3 12662 185.38 0.226774306632218 0.847931928299824 1.13264145285744 0.0814492181329964
"V21" 2005 2175.6 14186 146.88 0.400616767764529 1.49794636546166 1.24497284132605 0.13855350345411
"V22" 2006 2480.9 14817 179.14 0.214295366134609 0.801271915371475 1.4196787654191 0.0979280556117973
"V23" 2007 2905 15241 103.64 0.135796206324845 0.507755665951918 1.66236721090833 0.0615726658355751
"V24" 2008 3291.9 16500 174.39 0.122493170692548 0.4580142784753 1.8837682002028 0.0725284848484849
"V25" 2009 3566.3 16273 59.162 0.114063496363709 0.42649487879223 2.04079180181149 0.0727100104467523
"V26" 2010 3740 16318 140.57 0.0994798667015582 0.371965221510141 2.14019048839834 0.0595259222943988
"V27" 2011 3685.9 16981 179.09 0.158626959498413 0.59312214706037 2.10923211796455 0.0687344679347506
"V28" 2012 3736.4 16557 70.96 0.0666633468228103 0.249260954901999 2.13813041199239 0.0735284169837531
"V29" 2013 3835.6 15371 35.734 0.0756452976474225 0.282845371918691 2.1948969618451 0.041323271094919
"V30" 2014 3812.9 14526 52.826 0.0788269764474367 0.294741988780592 2.18190703561872 0.0641859424480242
"V31" 2015 3494.9 13431 80.925 0.137518063444281 0.514193862805973 1.99993361976025 0.101126498399226
"V32" 2016 2972 11971 75.028 0.189379943266833 0.70811064472126 1.70070752179675 0.142240414334642
"V33" 2017 2604.7 10007 36.614 0.126881715568208 0.474423488910605 1.49052250404576 0.0887401818726891
"V34" 2018 2393.7 8973.8 39.314 0.103074835120246 0.385407169800952 1.36977913691954 0.0991403864583566
"V35" 2019 2237.2 8366.1 80.362 0.0847118314956302 0.31674605336306 1.28022303760555 0.0881990413693358
"V36" 2020 2093.2 8165.1 79.304 0.097539290759999 0.364709212994118 1.19781998136775 0.0907570023637187
