"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1979 10776 47717 421.99 0.137463067218881 0.12625073908109 2.28425104716037 0.00799390154452292
"V2" 1980 10576 49935 481.03 0.554831952152464 0.50957646619012 2.24185589038308 0.0296277160308401
"V3" 1981 9895.5 49479 294.78 0.818730753077982 0.751950067576512 2.09760636944835 0.17734311526102
"V4" 1982 9177.1 41249 269.55 0.818730753077982 0.751950067576512 1.94532296630433 0.143679119493806
"V5" 1983 8383.7 36338 263.25 0.818730753077982 0.751950067576512 1.77714137936882 0.152663602840002
"V6" 1984 8484.8 32037 264.78 6.64377777654201e-08 6.10187064459548e-08 1.79857213111974 0.0536663857414864
"V7" 1985 8960.2 32478 327.5 8.21269184740396e-08 7.54281449233931e-08 1.89934541877936 0.0699378040519736
"V8" 1986 9512.1 34086 505.24 0.0252406370986829 0.0231818564292052 2.01633485390629 0.0805175145220912
"V9" 1987 9647.4 34788 359.04 0.417855332859151 0.383772497367907 2.04501517746613 0.096833965735311
"V10" 1988 9185.4 34154 277.29 0.818730753077982 0.751950067576512 1.94708236531059 0.104378403700884
"V11" 1989 8551 33061 286.85 0.818730753077982 0.751950067576512 1.81260492801302 0.055712470887148
"V12" 1990 8372.3 34657 415.29 0.420954721906177 0.386619081296256 1.77472485543252 0.026883082782699
"V13" 1991 8177.9 39404 645.59 0.818730753077982 0.751950067576512 1.73351676304499 0.0601126789158461
"V14" 1992 8506.2 40032 250.91 0.407147398755052 0.3739379678319 1.80310841289491 0.0198387539968026
"V15" 1993 9110.3 40277 132.92 0.204333871080942 0.187667151367954 1.93116298394071 0.0212911835538893
"V16" 1994 9567.3 38601 88.834 3.14327684490062e-09 2.88689196912283e-09 2.02803591717682 0.0257507836584544
"V17" 1995 9574.3 35498 72.892 1.01478903535771e-08 9.32016637758389e-09 2.02951974766403 0.0402656487689447
"V18" 1996 9136.9 31437 87.348 5.8606811670613e-09 5.38264818201642e-09 1.93680153979209 0.00235582911855457
"V19" 1997 7662.7 29800 220.79 0.681649283824803 0.626049800998156 1.62430683918669 0.135896979865772
"V20" 1998 6454.1 27521 517.59 0.818730753077982 0.751950067576512 1.36811290678153 0.164839213691363
"V21" 1999 6497.7 29697 794.3 0.749844070550412 0.688682204012097 1.37735505095898 0.102765935953127
"V22" 2000 8505.8 43248 1586.3 0.25771524632414 0.236694415301237 1.80302362258136 0.0178754162042175
"V23" 2001 11573 52491 359.66 0.00610406705280817 0.00560618202699109 2.45319574691787 0.00020162504048313
"V24" 2002 14566 59773 370.62 0.0490507403158028 0.0450498620657441 3.08763926809001 0.00262628611580479
"V25" 2003 17023 68299 852.73 0.0228318223277218 0.0209695193171644 3.60846376909902 0.00179743480870877
"V26" 2004 18832 73451 527.32 0.0159117094086471 0.0146138531136259 3.9919279621496 0.0014199806673837
"V27" 2005 20065 75578 388.64 4.16170757566237e-05 3.82225326334473e-05 4.2532941036816 0.00190227314827066
"V28" 2006 20439 75531 372.05 0.0629886958274906 0.0578509527167188 4.33257304685513 0.0151611920933127
"V29" 2007 20107 72883 354.87 0.0661189424871152 0.0607258773221362 4.26219708660483 0.0180770550059685
"V30" 2008 19619 73821 861.53 0.10838126901196 0.0995410301264319 4.15875290406824 0.0361661315885724
"V31" 2009 18990 68823 154.89 0.10774370219637 0.0989554671580622 4.02542013600366 0.0383249785682112
"V32" 2010 17944 64577 369.62 0.275078160967198 0.252641104478465 3.80369346605844 0.039106028462146
"V33" 2011 16888 59280 243.95 0.0834256051959017 0.0766209028167464 3.57984703827435 0.0381634615384615
"V34" 2012 15857 54003 215.25 0.0818800424293303 0.0752014055981579 3.36130000508742 0.0259848526933689
"V35" 2013 14798 50526 315.99 0.072934025991959 0.066985080952562 3.13681764995167 0.0214649883228437
"V36" 2014 13705 47653 295.08 0.121213721264693 0.111326789122705 2.90512811816378 0.0233082911883827
"V37" 2015 12601 44635 229 0.199508188177149 0.18323508066343 2.67110685275314 0.0426819760277809
"V38" 2016 11645 40363 148.51 0.136941698790843 0.125771896649409 2.4684580033577 0.0434774422119268
"V39" 2017 10663 36128 125.16 0.175152194527411 0.160865710755238 2.2602977835812 0.0504165744021258
"V40" 2018 10024 37460 742.43 0.212694162906338 0.195345526681734 2.12484525767776 0.0480309663641217
"V41" 2019 10583 47930 1472.6 0.274309019417165 0.251934698815372 2.24333972087029 0.0395964948883789
"V42" 2020 12080 52334 275.74 0.284534718348999 0.26132632722789 2.5606674693483 0.0361273741735774
