Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
122.636 0.00421727 0.00421727 0.00421727 0.00421727 0.552807 0.552807 0.552807 0.552807
122.636 0.00421727 0.00421727 0.00421727 0.00421727 0.552807 0.552807 0.552807 0.552807
122.635 0.00421726 0.00421726 0.00421726 0.00421726 0.552806 0.552806 0.552806 0.552806
122.631 0.00421715 0.00421715 0.00421715 0.00421715 0.5528 0.5528 0.5528 0.5528
122.591 0.00421603 0.00421603 0.00421603 0.00421603 0.552738 0.552738 0.552738 0.552738
122.193 0.00420489 0.00420489 0.00420489 0.00420489 0.552123 0.552123 0.552123 0.552123
118.457 0.00410053 0.00410053 0.00410053 0.00410053 0.546096 0.546096 0.546096 0.546096
100.908 0.00363324 0.00363324 0.00363324 0.00363324 0.499107 0.499107 0.499107 0.499107
3698.29 0.132501 0.132501 0.132501 0.132501 0.415715 0.415715 0.415715 0.415715
1.92907e+08 6907.6 6907.6 6907.6 6907.6 0.40605 0.40605 0.40605 0.40605
13658.8 0.489113 0.489113 0.489113 0.489113 0.410249 0.410249 0.410249 0.410249
9.03935e+07 3236.77 3236.77 3236.77 3236.77 0.406015 0.406015 0.406015 0.406015
74639.6 2.67269 2.67269 2.67269 2.67269 0.406833 0.406833 0.406833 0.406833
33556.3 1.20159 1.20159 1.20159 1.20159 0.407793 0.407793 0.407793 0.407793
163776 5.86446 5.86446 5.86446 5.86446 0.406397 0.406397 0.406397 0.406397
54095.4 1.93705 1.93705 1.93705 1.93705 0.407141 0.407141 0.407141 0.407141
67165.5 2.40505 2.40505 2.40505 2.40505 0.406998 0.406998 0.406998 0.406998
59187.7 2.11938 2.11938 2.11938 2.11938 0.407195 0.407195 0.407195 0.407195
71172.5 2.54853 2.54853 2.54853 2.54853 0.407066 0.407066 0.407066 0.407066
96846.4 3.46785 3.46785 3.46785 3.46785 0.406891 0.406891 0.406891 0.406891
79194.7 2.83579 2.83579 2.83579 2.83579 0.407022 0.407022 0.407022 0.407022
73899.6 2.64618 2.64618 2.64618 2.64618 0.407196 0.407196 0.407196 0.407196
87185.4 3.12191 3.12191 3.12191 3.12191 0.407116 0.407116 0.407116 0.407116
78975.6 2.82794 2.82794 2.82794 2.82794 0.407166 0.407166 0.407166 0.407166
